sep=,
Date,Open,High,Low,Close,Volume
15-Jun-16,4.44,4.48,4.30,4.42,11575250
14-Jun-16,4.40,4.51,4.33,4.39,16757413
13-Jun-16,4.32,4.48,4.32,4.40,13540907
10-Jun-16,4.40,4.47,4.30,4.32,15106516
9-Jun-16,4.41,4.54,4.32,4.52,16219074
8-Jun-16,4.54,4.56,4.38,4.46,16074328
7-Jun-16,4.56,4.67,4.47,4.51,20676178
6-Jun-16,4.20,4.51,4.17,4.47,21329634
3-Jun-16,4.16,4.20,4.08,4.16,17561799
2-Jun-16,4.37,4.40,4.07,4.24,35335045
1-Jun-16,4.60,4.64,4.38,4.43,29696360
31-May-16,4.67,4.71,4.50,4.57,25379192
27-May-16,4.39,4.63,4.37,4.60,34380599
26-May-16,4.19,4.38,4.17,4.35,22611941
25-May-16,4.24,4.35,4.15,4.18,24703552
24-May-16,4.09,4.21,3.92,4.20,34263728
23-May-16,3.90,4.20,3.88,4.04,35434345
20-May-16,3.83,3.90,3.81,3.87,13771292
19-May-16,3.83,3.85,3.69,3.77,17622956
18-May-16,3.79,3.97,3.77,3.84,19487546
17-May-16,3.80,3.98,3.69,3.79,20040735
16-May-16,3.67,3.85,3.65,3.79,14684408
13-May-16,3.56,3.73,3.55,3.67,16444490
12-May-16,3.65,3.68,3.55,3.59,9230215
11-May-16,3.61,3.68,3.60,3.65,7482203
10-May-16,3.66,3.68,3.56,3.64,9411323
9-May-16,3.66,3.68,3.45,3.65,16207273
6-May-16,3.65,3.75,3.64,3.68,11800127
5-May-16,3.64,3.80,3.60,3.66,21521277
4-May-16,3.54,3.67,3.54,3.60,8668075
3-May-16,3.70,3.71,3.58,3.60,13780874
2-May-16,3.58,3.75,3.57,3.74,16943891
29-Apr-16,3.69,3.69,3.45,3.55,17698285
28-Apr-16,3.69,3.80,3.60,3.61,20146577
27-Apr-16,3.55,3.75,3.53,3.73,24114102
26-Apr-16,3.45,3.75,3.44,3.66,36192150
25-Apr-16,3.81,3.82,3.31,3.45,80532688
22-Apr-16,3.19,3.99,3.18,3.99,142935089
21-Apr-16,2.65,2.70,2.60,2.62,12213209
20-Apr-16,2.62,2.72,2.61,2.70,7881821
19-Apr-16,2.78,2.78,2.61,2.62,11681053
18-Apr-16,2.67,2.80,2.65,2.76,8923074
15-Apr-16,2.72,2.75,2.68,2.70,7482492
14-Apr-16,2.77,2.79,2.70,2.72,8935350
13-Apr-16,2.78,2.82,2.73,2.80,8047063
12-Apr-16,2.79,2.85,2.76,2.81,16110067
11-Apr-16,2.76,2.82,2.74,2.76,9031849
8-Apr-16,2.70,2.76,2.68,2.74,8465477
7-Apr-16,2.76,2.83,2.61,2.64,13360428
6-Apr-16,2.75,2.80,2.72,2.80,12473419
5-Apr-16,2.76,2.84,2.72,2.76,9586214
4-Apr-16,2.83,2.87,2.80,2.83,5569055
1-Apr-16,2.79,2.88,2.76,2.83,8256439
31-Mar-16,2.84,2.88,2.80,2.85,9048107
30-Mar-16,2.88,2.98,2.85,2.86,14942932
29-Mar-16,2.74,2.88,2.70,2.86,13566008
28-Mar-16,2.81,2.84,2.73,2.78,7675577
24-Mar-16,2.69,2.81,2.62,2.79,10017222
23-Mar-16,2.80,2.82,2.68,2.68,9973415
22-Mar-16,2.73,2.85,2.71,2.79,10302395
21-Mar-16,2.90,2.90,2.75,2.80,13442715
18-Mar-16,2.80,2.93,2.77,2.93,26273586
17-Mar-16,2.77,2.81,2.70,2.80,28956253
16-Mar-16,2.50,2.64,2.49,2.63,12734901
15-Mar-16,2.67,2.69,2.45,2.49,21573551
14-Mar-16,2.53,2.75,2.50,2.72,33832859
11-Mar-16,2.29,2.54,2.29,2.52,21287339
10-Mar-16,2.29,2.31,2.15,2.26,9603469
9-Mar-16,2.32,2.35,2.20,2.26,13061705
8-Mar-16,2.44,2.46,2.30,2.30,9938907
7-Mar-16,2.36,2.47,2.36,2.47,8754330
4-Mar-16,2.42,2.50,2.34,2.37,15411226
3-Mar-16,2.32,2.55,2.30,2.46,22065262
2-Mar-16,2.20,2.33,2.18,2.32,10775808
1-Mar-16,2.16,2.20,2.12,2.18,8963194
29-Feb-16,2.06,2.15,2.05,2.14,11346718
26-Feb-16,2.04,2.10,2.03,2.07,7903756
25-Feb-16,2.02,2.04,1.98,2.03,5579840
24-Feb-16,1.98,2.04,1.93,2.02,6872781
23-Feb-16,2.04,2.06,1.97,1.97,6645172
22-Feb-16,1.94,2.04,1.92,2.01,9633245
19-Feb-16,1.93,1.93,1.83,1.91,7762769
18-Feb-16,1.93,1.98,1.90,1.91,10804012
17-Feb-16,1.85,1.94,1.85,1.90,13733798
16-Feb-16,1.86,1.90,1.82,1.83,11793210
