sep=,
Date,Open,High,Low,Close,Volume
16-Jun-15,7.29,7.30,7.03,7.15,21847
15-Jun-15,7.53,7.53,7.20,7.46,7148
12-Jun-15,7.51,7.81,7.00,7.49,38491
11-Jun-15,7.60,7.60,7.42,7.44,28524
10-Jun-15,7.78,7.80,7.36,7.60,51660
9-Jun-15,7.98,7.99,7.76,7.80,24513
8-Jun-15,8.10,8.33,7.80,7.84,22962
5-Jun-15,8.32,8.32,7.81,8.07,49951
4-Jun-15,8.35,8.37,8.01,8.32,26995
3-Jun-15,8.15,8.55,8.08,8.53,23484
2-Jun-15,8.10,8.24,8.00,8.04,22928
1-Jun-15,8.00,8.49,7.91,8.14,36524
29-May-15,7.42,8.74,7.41,7.90,27749
28-May-15,7.27,7.59,7.25,7.27,8449
27-May-15,7.55,7.63,7.30,7.30,5579
26-May-15,7.40,7.80,7.40,7.51,3180
22-May-15,7.33,7.33,7.10,7.15,1482
21-May-15,7.57,7.57,7.05,7.25,20134
20-May-15,7.28,7.56,7.28,7.44,5456
19-May-15,7.48,7.52,7.24,7.39,3850
18-May-15,7.48,7.56,7.02,7.44,9548
15-May-15,7.61,7.84,7.16,7.34,8227
14-May-15,8.07,8.07,7.49,7.51,5364
13-May-15,7.91,7.91,7.09,7.40,9630
12-May-15,7.47,8.20,7.47,7.78,5743
11-May-15,7.16,7.59,7.16,7.45,8472
8-May-15,6.99,7.16,6.75,7.06,12675
7-May-15,6.78,6.96,6.71,6.94,6697
6-May-15,7.18,7.18,6.60,6.76,6121
5-May-15,7.00,7.15,6.56,7.10,11733
4-May-15,7.22,7.23,6.56,6.72,24840
1-May-15,6.58,7.26,6.58,6.94,25336
30-Apr-15,7.35,7.36,6.66,6.76,41577
29-Apr-15,7.52,7.60,7.13,7.13,25403
28-Apr-15,7.50,8.11,7.32,7.51,21698
27-Apr-15,7.78,7.95,7.47,7.47,19765
24-Apr-15,7.82,7.98,7.56,7.77,17608
23-Apr-15,7.90,8.21,7.80,7.80,48437
22-Apr-15,8.35,8.35,7.90,7.91,19404
21-Apr-15,7.60,8.46,7.60,8.32,48797
20-Apr-15,7.88,8.05,7.58,7.92,39974
17-Apr-15,8.00,8.00,7.56,7.58,17460
16-Apr-15,8.10,8.10,7.78,7.99,25157
15-Apr-15,8.40,8.40,7.92,8.02,103249
14-Apr-15,8.40,8.40,8.21,8.35,3810
13-Apr-15,8.45,8.50,8.12,8.17,8594
10-Apr-15,8.44,8.50,8.25,8.47,15018
9-Apr-15,8.26,8.50,8.25,8.25,5252
8-Apr-15,8.36,8.36,7.71,8.20,29974
7-Apr-15,7.78,8.30,7.78,8.12,10786
