sep=,
Date,Open,High,Low,Close,Volume
15-Jun-16,6.96,7.18,6.88,6.94,144672
14-Jun-16,7.29,7.45,6.92,6.95,101597
13-Jun-16,7.16,7.37,7.08,7.28,149067
10-Jun-16,7.32,7.62,6.91,7.35,371410
9-Jun-16,7.89,8.10,7.35,7.39,146766
8-Jun-16,7.98,8.16,7.82,7.97,118584
7-Jun-16,8.11,8.36,7.89,7.98,193459
6-Jun-16,8.02,8.50,7.93,8.13,213549
3-Jun-16,8.58,8.58,7.91,8.05,164737
2-Jun-16,8.29,8.77,8.10,8.50,119617
1-Jun-16,8.20,8.35,8.15,8.30,101063
31-May-16,7.70,8.39,7.56,8.23,325522
27-May-16,7.54,7.67,7.37,7.65,77840
26-May-16,7.66,7.70,7.35,7.52,104510
25-May-16,7.26,7.80,7.22,7.66,238713
24-May-16,6.81,7.30,6.81,7.21,278425
23-May-16,6.67,6.95,6.62,6.85,135772
20-May-16,6.64,7.05,6.61,6.65,162992
19-May-16,6.81,6.97,6.56,6.71,137990
18-May-16,6.71,7.27,6.65,6.83,143705
17-May-16,6.52,7.07,6.47,6.77,335553
16-May-16,6.56,6.77,6.43,6.53,78356
13-May-16,6.58,6.80,6.38,6.56,151554
12-May-16,7.04,7.16,6.40,6.57,177449
11-May-16,7.10,7.22,7.00,7.01,109475
10-May-16,7.70,8.04,6.87,7.11,205195
9-May-16,7.70,7.96,7.63,7.73,84175
6-May-16,8.05,8.16,7.55,7.69,240041
5-May-16,8.31,8.50,8.08,8.18,170996
4-May-16,8.81,8.81,8.17,8.28,229180
3-May-16,8.45,9.13,8.28,8.86,207381
2-May-16,8.11,8.58,7.98,8.48,131668
29-Apr-16,8.16,8.48,7.81,8.14,107854
28-Apr-16,8.34,8.46,8.03,8.14,102098
27-Apr-16,8.65,8.93,8.27,8.32,65205
26-Apr-16,8.86,8.89,8.47,8.60,102954
25-Apr-16,9.05,9.18,8.83,8.88,119971
22-Apr-16,9.09,9.25,8.85,9.11,53258
21-Apr-16,8.62,9.29,8.62,9.09,187110
20-Apr-16,8.90,9.05,8.62,8.68,119085
19-Apr-16,9.50,9.50,8.83,8.98,126167
18-Apr-16,9.66,9.66,9.25,9.44,158815
15-Apr-16,9.84,9.84,9.40,9.68,54541
14-Apr-16,9.80,10.04,9.59,9.81,85813
13-Apr-16,9.78,10.02,9.40,9.76,108911
12-Apr-16,9.59,9.78,9.31,9.67,94434
11-Apr-16,9.85,9.95,9.55,9.62,140049
8-Apr-16,10.50,10.50,9.64,9.84,100526
7-Apr-16,11.01,11.10,10.27,10.38,164822
6-Apr-16,10.15,11.10,10.15,11.00,159666
5-Apr-16,9.96,10.33,9.80,10.25,108556
4-Apr-16,9.71,10.50,9.64,10.04,289568
1-Apr-16,8.76,9.69,8.73,9.60,292146
31-Mar-16,8.72,9.05,8.64,8.82,157748
30-Mar-16,8.79,9.15,8.55,8.68,126264
29-Mar-16,8.27,8.83,8.10,8.79,153220
28-Mar-16,8.56,8.71,8.25,8.31,114098
24-Mar-16,8.56,8.91,8.31,8.54,163912
23-Mar-16,9.00,9.17,8.46,8.57,244899
22-Mar-16,8.79,9.25,8.59,8.98,191787
21-Mar-16,8.33,9.30,8.33,8.81,407108
18-Mar-16,8.33,8.48,8.00,8.32,243950
17-Mar-16,10.10,10.10,8.02,8.31,725926
16-Mar-16,8.20,8.53,7.65,8.50,572340
15-Mar-16,8.50,8.69,7.72,8.28,385990
14-Mar-16,8.14,8.65,7.91,8.43,200127
11-Mar-16,8.17,8.24,7.86,8.11,109233
10-Mar-16,8.43,8.63,8.02,8.08,156388
9-Mar-16,8.78,8.89,8.23,8.42,113315
8-Mar-16,9.04,9.30,8.57,8.77,130166
7-Mar-16,8.99,9.33,8.60,9.05,106897
4-Mar-16,9.43,9.71,8.90,8.95,144733
3-Mar-16,9.25,9.61,9.10,9.42,176420
2-Mar-16,8.91,9.34,8.75,9.29,275248
1-Mar-16,8.99,9.09,8.51,8.90,194400
29-Feb-16,9.33,9.41,8.65,8.89,282735
26-Feb-16,10.01,10.15,9.30,9.38,256986
25-Feb-16,9.88,10.32,9.47,10.01,399783
24-Feb-16,9.68,10.02,9.20,9.95,211972
23-Feb-16,10.11,10.65,9.80,9.88,219692
22-Feb-16,10.00,10.54,10.00,10.26,210680
19-Feb-16,9.93,10.57,9.76,9.98,203355
18-Feb-16,10.72,11.00,10.04,10.08,200487
17-Feb-16,10.07,11.07,9.81,10.77,322289
16-Feb-16,9.79,10.23,9.32,10.07,321541
12-Feb-16,9.49,10.00,9.30,9.81,245473
11-Feb-16,9.46,10.17,8.65,9.48,284659
10-Feb-16,10.12,10.58,9.63,9.66,231949
9-Feb-16,9.44,10.42,9.24,10.16,230700
8-Feb-16,10.97,11.36,9.74,9.77,311098
5-Feb-16,11.63,12.02,11.00,11.13,282956
4-Feb-16,11.35,12.08,11.01,11.78,258558
3-Feb-16,11.43,11.66,10.71,11.46,358168
2-Feb-16,12.41,13.30,11.30,11.45,622711
1-Feb-16,10.36,12.70,10.24,12.57,600152
29-Jan-16,10.35,10.92,10.13,10.49,296590
28-Jan-16,11.14,11.36,10.30,10.42,294463
27-Jan-16,11.17,11.99,11.06,11.17,343236
26-Jan-16,11.24,11.25,10.47,11.03,252261
25-Jan-16,11.07,11.82,10.87,11.30,191625
22-Jan-16,10.68,11.15,10.39,11.07,313320
21-Jan-16,10.66,11.37,10.20,10.73,805248
20-Jan-16,9.02,10.15,8.74,10.00,425793
19-Jan-16,9.49,10.00,8.89,9.23,336692
15-Jan-16,7.95,9.28,7.89,9.21,370275
14-Jan-16,8.11,8.62,7.64,8.20,570333
13-Jan-16,9.50,9.61,7.66,8.02,378877
12-Jan-16,9.41,10.13,9.15,9.53,214436
11-Jan-16,10.04,10.25,9.16,9.34,164894
8-Jan-16,10.50,10.83,10.01,10.09,182626
7-Jan-16,11.09,11.22,10.48,10.62,189941
6-Jan-16,11.95,11.97,11.20,11.32,135504
5-Jan-16,12.44,12.44,11.85,11.94,122618
4-Jan-16,12.40,12.76,11.98,12.33,200235
31-Dec-15,11.95,12.51,11.47,12.48,388439
30-Dec-15,12.04,12.25,11.54,12.04,184304
29-Dec-15,12.53,12.63,11.78,12.07,168779
28-Dec-15,12.64,13.03,12.42,12.54,141273
24-Dec-15,12.76,12.83,12.58,12.66,35953
23-Dec-15,12.90,13.14,12.51,12.81,193504
22-Dec-15,13.12,13.43,12.74,12.83,154646
21-Dec-15,12.83,13.45,12.18,13.15,427214
18-Dec-15,12.34,12.75,11.48,12.63,717945
17-Dec-15,12.20,12.90,11.97,12.32,358344
16-Dec-15,11.82,12.17,11.59,12.13,222287
15-Dec-15,11.27,11.66,10.87,11.59,179423
14-Dec-15,11.57,11.62,10.71,11.22,175303
11-Dec-15,11.55,11.60,11.26,11.53,115034
10-Dec-15,11.62,11.69,11.26,11.53,149187
9-Dec-15,12.03,12.25,11.25,11.62,146405
8-Dec-15,11.22,12.05,10.76,11.91,251715
7-Dec-15,11.16,11.33,10.70,11.15,152774
4-Dec-15,11.09,11.39,10.68,11.30,118730
3-Dec-15,11.59,11.63,10.63,11.05,194728
2-Dec-15,11.99,11.99,11.45,11.52,119947
1-Dec-15,11.96,12.01,11.51,11.99,152821
