sep=,
Date,Open,High,Low,Close,Volume
16-Jun-15,14.15,14.22,13.50,13.92,5028
15-Jun-15,13.78,14.25,13.56,14.24,4678
12-Jun-15,14.12,14.32,13.75,13.96,3028
11-Jun-15,13.75,14.65,13.69,14.00,4020
10-Jun-15,14.64,14.64,14.00,14.47,4625
9-Jun-15,14.00,14.84,13.52,14.65,3622
8-Jun-15,14.70,15.17,13.38,13.76,4945
5-Jun-15,15.00,15.45,14.50,14.82,5056
4-Jun-15,14.50,16.08,14.50,15.07,21307
3-Jun-15,15.00,15.50,14.50,15.13,2885
2-Jun-15,15.25,15.50,15.00,15.00,1765
1-Jun-15,15.50,15.51,14.75,15.00,1861
29-May-15,15.10,15.25,14.50,15.25,2469
28-May-15,14.50,15.10,14.50,15.10,1080
27-May-15,14.65,15.25,14.50,15.20,3298
26-May-15,15.00,15.50,14.53,14.61,6438
22-May-15,15.00,15.54,14.75,15.23,3570
21-May-15,15.00,15.80,14.86,15.24,2937
20-May-15,15.76,16.08,14.84,15.08,9222
19-May-15,16.50,16.75,15.87,16.16,1465
18-May-15,16.50,17.25,16.50,16.64,4119
15-May-15,16.75,16.90,15.75,16.50,17669
14-May-15,14.60,15.50,14.60,15.49,9349
13-May-15,14.00,15.62,12.50,14.50,38386
12-May-15,16.80,16.98,16.32,16.50,8417
11-May-15,17.24,17.75,16.65,16.80,6985
8-May-15,17.81,17.81,17.24,17.24,1578
7-May-15,17.75,17.75,17.00,17.50,3165
6-May-15,18.25,18.75,16.75,16.75,6717
5-May-15,18.75,18.75,18.13,18.50,1586
4-May-15,18.75,18.75,17.75,18.47,2575
1-May-15,18.25,18.75,18.00,18.55,1963
30-Apr-15,18.75,19.00,18.12,18.25,2297
29-Apr-15,19.25,19.25,18.50,19.00,2534
28-Apr-15,18.78,19.25,18.48,18.82,5433
27-Apr-15,19.03,19.48,18.75,18.75,3169
24-Apr-15,19.48,19.75,18.81,19.00,16929
23-Apr-15,19.00,19.38,18.75,18.95,6061
22-Apr-15,18.75,19.50,18.75,19.00,20690
21-Apr-15,18.12,18.50,17.25,18.25,4389
20-Apr-15,18.75,18.75,17.75,18.25,2793
17-Apr-15,18.75,19.00,18.25,18.50,5790
16-Apr-15,19.00,19.50,18.00,18.25,10672
15-Apr-15,17.02,18.75,16.52,18.75,13622
14-Apr-15,17.30,18.00,16.93,17.12,6763
13-Apr-15,16.81,17.75,16.75,17.75,2861
10-Apr-15,17.12,17.50,16.50,17.10,5375
9-Apr-15,16.36,17.00,16.17,16.50,3124
8-Apr-15,16.75,17.75,16.25,16.75,8224
7-Apr-15,14.25,18.50,14.25,17.25,27940
6-Apr-15,14.02,14.75,14.02,14.25,3355
2-Apr-15,14.25,14.96,14.00,14.25,3872
1-Apr-15,14.00,14.80,13.77,14.25,5618
31-Mar-15,14.38,14.50,13.76,13.90,6308
30-Mar-15,14.75,14.96,14.06,14.50,5582
