sep=,
Date,Open,High,Low,Close,Volume
15-Jun-16,4.43,4.69,4.37,4.55,19397
14-Jun-16,4.70,4.70,4.19,4.19,55465
13-Jun-16,4.80,4.87,4.57,4.67,37951
10-Jun-16,5.05,5.08,4.75,4.89,38068
9-Jun-16,5.05,5.36,4.96,5.02,28859
8-Jun-16,5.00,5.44,4.94,5.00,174266
7-Jun-16,4.68,5.40,4.59,4.98,272006
6-Jun-16,4.71,4.78,4.65,4.67,16164
3-Jun-16,4.89,4.91,4.68,4.68,41390
2-Jun-16,4.91,4.95,4.77,4.78,18881
1-Jun-16,5.05,5.12,4.82,4.95,23904
31-May-16,4.81,5.19,4.81,5.05,42692
27-May-16,4.88,4.89,4.65,4.86,21086
26-May-16,4.93,5.00,4.85,4.92,23125
25-May-16,4.76,4.98,4.62,4.97,55542
24-May-16,4.90,4.94,4.63,4.94,67089
23-May-16,4.59,5.27,4.59,4.92,46583
20-May-16,4.52,4.95,4.52,4.63,57972
19-May-16,4.02,4.71,3.51,4.61,235417
18-May-16,5.47,5.58,5.10,5.10,66869
17-May-16,5.72,5.85,5.27,5.29,73482
16-May-16,5.44,5.87,5.38,5.69,53980
13-May-16,5.43,5.47,5.23,5.41,53901
12-May-16,5.00,5.53,5.00,5.38,96203
11-May-16,5.10,5.43,4.93,5.02,76554
10-May-16,4.41,5.40,4.41,5.02,161810
9-May-16,4.47,4.52,4.37,4.41,72573
6-May-16,4.59,4.77,4.26,4.52,154615
5-May-16,5.29,5.31,4.45,4.56,213123
4-May-16,5.65,5.88,5.23,5.26,179885
3-May-16,6.06,6.06,5.63,5.71,180253
2-May-16,6.23,6.23,5.68,6.06,253378
29-Apr-16,6.54,6.54,6.12,6.23,154173
28-Apr-16,6.60,6.74,6.16,6.44,473179
27-Apr-16,6.47,6.89,6.30,6.75,911164
26-Apr-16,5.66,6.59,5.66,6.44,327039
25-Apr-16,6.07,6.25,5.50,5.72,114111
22-Apr-16,6.05,6.39,5.99,6.13,131068
21-Apr-16,6.03,6.13,5.90,5.93,85035
20-Apr-16,6.48,6.77,6.00,6.08,158675
19-Apr-16,6.67,6.75,6.34,6.56,149863
18-Apr-16,6.69,6.86,6.23,6.65,266519
15-Apr-16,7.50,8.20,6.82,6.85,1032192
14-Apr-16,6.51,7.48,6.31,7.38,2237127
13-Apr-16,5.93,6.50,5.78,5.96,528522
12-Apr-16,7.01,7.25,5.90,5.93,235751
11-Apr-16,6.09,6.79,5.95,6.74,380639
8-Apr-16,6.97,6.97,6.06,6.15,481184
7-Apr-16,7.63,7.77,6.77,6.91,1247959
6-Apr-16,9.24,10.66,8.59,8.80,3743344
5-Apr-16,5.97,8.70,5.53,8.70,1617007
4-Apr-16,5.66,6.15,5.23,5.92,490215
1-Apr-16,4.94,6.39,4.67,5.53,2462537
31-Mar-16,3.29,4.99,3.29,4.93,841190
30-Mar-16,2.70,4.40,2.69,3.39,1499532
29-Mar-16,2.31,2.50,2.30,2.44,16208
28-Mar-16,2.32,2.32,2.19,2.22,7499
24-Mar-16,2.36,2.39,2.19,2.19,6178
23-Mar-16,2.58,2.58,2.46,2.48,12821
22-Mar-16,2.45,2.64,2.45,2.49,28573
21-Mar-16,2.32,2.50,2.29,2.48,13497
18-Mar-16,2.50,2.50,2.31,2.31,9469
17-Mar-16,2.30,2.40,2.28,2.40,7920
16-Mar-16,2.26,2.31,2.13,2.27,25194
15-Mar-16,2.33,2.33,2.23,2.23,4439
14-Mar-16,2.34,2.34,2.22,2.31,6473
11-Mar-16,2.23,2.36,2.16,2.30,26029
10-Mar-16,2.24,2.24,2.11,2.20,6031
9-Mar-16,2.08,2.20,2.08,2.14,9783
8-Mar-16,2.23,2.23,2.10,2.11,16833
7-Mar-16,2.00,2.25,2.00,2.25,56733
4-Mar-16,2.12,2.12,2.03,2.07,14236
3-Mar-16,2.05,2.12,2.05,2.06,10189
2-Mar-16,2.02,2.14,2.01,2.04,6286
1-Mar-16,2.02,2.41,1.85,2.11,321348
29-Feb-16,2.06,2.22,2.01,2.05,179339
26-Feb-16,2.06,2.18,2.04,2.06,6697
25-Feb-16,2.17,2.21,2.05,2.08,7427
24-Feb-16,2.14,2.17,2.09,2.10,10089
23-Feb-16,2.21,2.23,1.95,2.03,159678
22-Feb-16,2.08,2.23,2.08,2.21,6229
19-Feb-16,2.13,2.25,2.01,2.15,10047
18-Feb-16,2.10,2.26,2.05,2.20,15754
17-Feb-16,1.79,2.14,1.79,2.05,241631
16-Feb-16,1.77,2.08,1.77,1.83,149928
12-Feb-16,1.92,1.92,1.61,1.79,11168
11-Feb-16,2.18,2.20,1.83,1.85,22434
10-Feb-16,2.38,2.45,2.20,2.20,18805
9-Feb-16,2.30,2.46,2.23,2.33,21833
8-Feb-16,1.82,2.39,1.79,2.23,33739
5-Feb-16,1.99,1.99,1.76,1.89,63881
