sep=,
Date,Open,High,Low,Close,Volume
15-Jun-16,45.12,45.34,44.88,45.01,8327688
14-Jun-16,44.85,45.13,44.44,45.04,11298208
13-Jun-16,45.48,45.67,45.09,45.12,10613533
10-Jun-16,45.62,46.01,45.56,45.99,12357013
9-Jun-16,45.33,45.80,45.31,45.76,8042866
8-Jun-16,45.24,45.66,45.19,45.55,7915417
7-Jun-16,45.35,45.48,45.20,45.32,9812617
6-Jun-16,45.09,45.48,45.08,45.37,10310560
3-Jun-16,44.75,45.05,44.68,45.04,13434865
2-Jun-16,44.70,44.72,44.50,44.72,6693945
1-Jun-16,44.60,44.78,44.49,44.70,8916015
31-May-16,44.98,44.98,44.26,44.60,18935249
27-May-16,44.71,44.96,44.65,44.78,7871352
26-May-16,44.53,44.76,44.44,44.69,8695697
25-May-16,44.51,44.63,44.25,44.38,9216856
24-May-16,44.10,44.42,44.00,44.37,12632692
23-May-16,44.07,44.16,43.94,43.97,13547854
20-May-16,44.51,44.54,43.94,43.95,12903441
19-May-16,44.25,44.39,44.04,44.32,10568211
18-May-16,44.56,44.83,44.23,44.48,12437476
17-May-16,45.45,45.56,44.71,44.75,17410329
16-May-16,45.16,45.73,45.14,45.62,9398662
13-May-16,45.75,45.83,45.23,45.35,10228712
12-May-16,45.55,45.90,45.48,45.83,10452647
11-May-16,45.73,45.88,45.45,45.46,8774436
10-May-16,45.44,45.84,45.42,45.75,8931387
9-May-16,45.32,45.50,45.17,45.24,8110493
6-May-16,45.06,45.41,44.92,45.32,8562895
5-May-16,44.93,45.49,44.87,45.06,8788146
4-May-16,44.72,45.11,44.50,44.98,9335549
3-May-16,44.87,45.06,44.65,44.84,10374219
2-May-16,44.57,45.19,44.57,44.98,12513205
29-Apr-16,44.53,44.86,44.50,44.80,11705398
28-Apr-16,44.50,44.90,44.46,44.63,10913144
27-Apr-16,44.64,44.86,44.25,44.68,11298579
26-Apr-16,44.92,44.96,44.43,44.53,13919510
25-Apr-16,44.50,44.72,44.38,44.71,11169758
22-Apr-16,43.79,44.66,43.79,44.54,25080039
21-Apr-16,44.26,44.28,42.87,43.66,36993624
20-Apr-16,45.34,45.38,44.06,44.37,40336343
19-Apr-16,46.31,46.62,46.15,46.60,14404009
18-Apr-16,46.13,46.28,45.82,46.22,11536795
15-Apr-16,45.82,46.16,45.68,46.10,13610621
14-Apr-16,46.06,46.22,45.74,45.83,12981237
13-Apr-16,46.77,46.78,45.82,46.04,13229301
12-Apr-16,46.41,46.76,46.35,46.65,11214744
11-Apr-16,46.90,47.13,46.41,46.44,11853461
8-Apr-16,46.44,46.98,46.44,46.87,11858469
7-Apr-16,46.50,46.58,46.16,46.36,9256269
6-Apr-16,46.57,46.73,46.38,46.71,9122640
5-Apr-16,46.62,46.81,46.44,46.53,10676337
4-Apr-16,46.84,46.93,46.50,46.89,10617685
1-Apr-16,46.14,46.87,46.11,46.83,14922472
31-Mar-16,46.55,46.88,46.32,46.39,15442555
30-Mar-16,46.63,46.73,46.33,46.58,14311787
29-Mar-16,45.86,46.51,45.81,46.48,24998792
28-Mar-16,45.56,45.93,45.51,45.80,13301621
24-Mar-16,45.45,45.60,45.19,45.58,10877622
23-Mar-16,45.40,45.71,45.35,45.46,9249598
22-Mar-16,45.55,45.73,45.39,45.50,13745629
21-Mar-16,45.42,45.87,45.36,45.67,9729114
18-Mar-16,45.84,45.87,45.39,45.60,23565240
