sep=,
Date,Open,High,Low,Close,Volume
16-Jun-15,94.24,95.61,93.69,95.27,16043020
15-Jun-15,92.86,93.59,91.66,93.43,19053951
12-Jun-15,94.92,95.34,94.12,94.42,10278821
11-Jun-15,96.89,96.92,94.09,95.09,26623387
10-Jun-15,93.40,98.97,93.23,95.87,57121379
9-Jun-15,89.33,92.71,89.33,92.45,22025080
8-Jun-15,90.71,90.82,89.00,89.60,11148914
5-Jun-15,89.21,90.54,89.13,90.46,11624347
4-Jun-15,88.38,89.43,88.04,89.35,10074379
3-Jun-15,89.24,89.73,88.64,88.81,6237994
2-Jun-15,88.71,89.68,88.41,89.13,7528927
1-Jun-15,88.84,89.12,87.94,89.00,9925832
29-May-15,89.47,90.21,88.96,89.15,12712014
28-May-15,89.71,89.86,88.93,89.51,7821541
27-May-15,88.14,89.91,87.93,89.86,10506412
26-May-15,88.87,89.06,87.79,87.99,9645720
22-May-15,89.18,89.41,88.69,88.84,7466039
21-May-15,89.08,89.57,88.18,89.00,12767020
20-May-15,88.21,89.11,87.36,88.79,12757129
19-May-15,88.89,89.79,87.81,88.07,19101306
18-May-15,87.54,88.53,87.02,88.27,14811944
15-May-15,86.36,88.35,85.76,87.61,37053009
14-May-15,83.29,83.92,82.33,83.84,8898659
13-May-15,83.40,84.20,82.69,82.87,11155725
12-May-15,83.81,83.81,82.99,83.38,11906972
11-May-15,82.32,84.86,82.19,84.28,23882383
8-May-15,81.04,82.15,80.96,82.09,13828248
7-May-15,80.11,80.79,79.46,80.75,10220595
6-May-15,81.03,81.21,79.52,80.08,11504507
5-May-15,81.24,82.44,80.76,80.79,27116285
4-May-15,79.60,79.70,78.90,79.30,7967085
1-May-15,79.86,79.97,78.89,79.58,8906086
30-Apr-15,80.24,80.84,79.12,79.50,10565254
29-Apr-15,80.07,81.06,79.64,80.41,9540468
28-Apr-15,80.59,81.28,79.94,80.44,8826475
27-Apr-15,80.29,81.79,80.23,80.87,15247001
24-Apr-15,80.17,80.81,79.51,79.77,11045237
23-Apr-15,79.66,80.34,78.96,79.87,12687283
22-Apr-15,80.21,80.71,79.54,79.67,12089511
21-Apr-15,81.23,81.48,79.80,80.06,15925574
20-Apr-15,81.79,82.30,80.38,81.06,30766400
17-Apr-15,79.78,82.14,79.71,81.65,58306367
16-Apr-15,76.00,81.25,75.71,80.29,104500746
15-Apr-15,68.70,68.70,67.36,67.92,42528619
14-Apr-15,68.86,69.14,67.42,68.39,28642138
13-Apr-15,67.24,69.29,67.06,67.81,44436945
10-Apr-15,64.40,65.00,63.95,64.94,22367093
9-Apr-15,63.00,63.14,62.11,62.79,13455540
8-Apr-15,61.20,63.11,61.18,63.05,22327697
7-Apr-15,60.50,60.85,60.04,60.49,9977716
6-Apr-15,58.77,60.45,58.46,60.33,10730328
2-Apr-15,59.07,59.61,58.86,59.15,9864211
1-Apr-15,59.64,59.79,58.70,59.02,14639744
31-Mar-15,60.11,60.42,59.46,59.53,14248605
30-Mar-15,59.72,60.56,59.36,60.37,13272378
27-Mar-15,59.33,59.85,58.57,59.25,15851934
26-Mar-15,59.63,60.45,59.39,59.75,16038785
25-Mar-15,62.68,62.69,60.24,60.25,21652386
24-Mar-15,61.14,63.10,61.12,62.61,16888746
23-Mar-15,60.89,61.16,60.33,60.71,7664104
20-Mar-15,61.34,61.79,60.90,61.18,13641838
19-Mar-15,60.46,61.21,60.26,60.74,11449823
18-Mar-15,59.74,60.65,59.30,60.45,14634935
17-Mar-15,59.71,60.69,59.38,59.79,18428130
16-Mar-15,61.55,61.55,59.62,60.28,26796119
13-Mar-15,63.91,64.06,62.37,62.63,10160997
12-Mar-15,63.35,64.58,63.34,64.05,14654647
11-Mar-15,62.24,63.94,62.24,62.88,16363417
10-Mar-15,63.02,63.35,61.98,62.15,17947034
9-Mar-15,64.99,65.09,62.83,63.66,18970931
6-Mar-15,66.64,66.93,64.84,64.87,12888540
5-Mar-15,67.43,67.46,66.42,66.81,11248986
4-Mar-15,67.53,67.93,66.18,67.11,17453779
3-Mar-15,68.34,68.46,67.51,67.82,7426608
2-Mar-15,67.71,68.61,67.23,68.61,10186925
27-Feb-15,69.08,69.43,67.82,67.84,11516694
26-Feb-15,68.63,69.50,68.43,69.00,10852884
25-Feb-15,67.81,68.79,67.81,68.33,6859867
24-Feb-15,67.37,68.08,67.36,67.84,6075202
23-Feb-15,68.30,68.31,67.14,67.41,9031701
20-Feb-15,67.95,68.37,67.64,68.31,9421846
19-Feb-15,67.86,68.71,67.57,67.80,10438554
18-Feb-15,67.02,68.07,66.65,67.87,10316831
17-Feb-15,66.52,67.37,65.94,67.14,11170404
13-Feb-15,65.43,66.63,65.42,66.59,12968746
12-Feb-15,65.06,65.61,64.45,65.25,8471939
11-Feb-15,64.83,66.14,64.56,64.98,13953296
10-Feb-15,63.46,65.16,63.10,64.85,15418879
9-Feb-15,63.20,63.79,62.64,63.30,8179332
6-Feb-15,64.25,64.43,63.18,63.48,8898260
5-Feb-15,64.54,65.14,63.67,64.13,14248724
4-Feb-15,65.04,65.17,63.89,64.10,12450942
3-Feb-15,63.32,65.47,62.73,65.27,16439913
2-Feb-15,62.84,63.43,61.96,63.01,12990789
30-Jan-15,63.13,63.98,62.66,63.11,13215601
29-Jan-15,63.20,63.93,62.50,63.40,15127938
28-Jan-15,64.74,64.82,63.08,63.21,24532858
27-Jan-15,63.09,65.34,63.05,64.88,24612553
26-Jan-15,62.57,63.90,61.96,63.79,21269045
23-Jan-15,60.99,62.74,60.88,62.49,26784352
22-Jan-15,58.57,61.37,57.83,61.21,33319398
21-Jan-15,59.23,59.24,57.41,58.47,66902766
20-Jan-15,48.60,50.00,47.70,49.80,40551287
16-Jan-15,46.86,48.25,46.38,48.19,19696474
15-Jan-15,46.55,46.79,45.84,46.25,11678688
14-Jan-15,47.07,47.37,45.68,46.32,19884599
13-Jan-15,46.02,47.05,45.90,46.26,18729256
12-Jan-15,47.09,47.20,45.26,45.55,12944610
9-Jan-15,47.63,48.02,46.90,47.04,9577960
8-Jan-15,47.12,47.84,46.48,47.78,9624209
7-Jan-15,47.35,47.42,46.27,46.74,9850022
6-Jan-15,47.35,47.64,45.66,46.50,16037952
5-Jan-15,49.26,49.26,47.15,47.31,18165021
2-Jan-15,49.15,50.33,48.73,49.85,13474825
31-Dec-14,49.03,49.39,48.79,48.80,8627773
30-Dec-14,48.71,49.14,48.54,49.03,7011221
29-Dec-14,47.97,49.10,47.65,48.85,8608586
26-Dec-14,48.84,49.48,48.53,48.58,8847447
24-Dec-14,48.07,49.07,48.00,48.87,5412407
23-Dec-14,48.29,48.43,47.47,48.06,8307964
22-Dec-14,48.54,49.24,47.75,48.10,8007650
19-Dec-14,47.90,48.72,47.62,48.59,15048061
18-Dec-14,48.40,48.93,47.23,47.77,15639365
17-Dec-14,45.38,47.87,45.08,47.66,20193047
16-Dec-14,46.43,47.07,45.14,45.21,16981174
15-Dec-14,48.06,48.42,46.62,46.72,12025545
12-Dec-14,47.42,48.32,46.98,47.78,13574519
11-Dec-14,48.01,48.70,47.66,47.80,11771424
10-Dec-14,49.02,49.25,47.67,47.76,12674977
9-Dec-14,47.82,49.34,47.00,49.11,17994368
8-Dec-14,49.88,49.98,48.29,48.50,13628643
5-Dec-14,50.15,50.64,49.73,50.13,9929871
4-Dec-14,50.43,51.14,49.91,50.09,11864713
3-Dec-14,50.22,50.73,49.18,50.73,13831902
2-Dec-14,48.76,50.48,48.69,50.33,14271698
1-Dec-14,49.29,49.57,48.23,48.83,11964673
28-Nov-14,50.51,50.57,49.43,49.51,6702255
26-Nov-14,50.15,50.53,49.75,50.17,10065321
25-Nov-14,50.15,50.35,49.14,49.86,28100842
24-Nov-14,51.51,51.92,50.77,50.92,17863909
21-Nov-14,53.21,53.32,51.36,51.47,17877783
