sep=,
Date,Open,High,Low,Close,Volume
15-Jun-16,103.27,103.57,102.75,102.86,3434378
14-Jun-16,102.60,103.29,101.74,103.23,4363559
13-Jun-16,103.24,103.69,102.98,103.06,4368338
10-Jun-16,103.25,103.49,102.78,103.31,3462385
9-Jun-16,102.90,103.82,102.54,103.66,3552237
8-Jun-16,102.36,103.35,102.17,103.18,2860778
7-Jun-16,102.82,103.18,102.28,102.49,4078737
6-Jun-16,102.54,103.06,102.23,102.70,2944217
3-Jun-16,101.92,102.83,101.92,102.53,4511654
2-Jun-16,101.33,102.01,101.17,102.00,3618690
1-Jun-16,100.56,101.60,100.30,101.57,4741392
31-May-16,102.14,102.37,100.82,101.17,6368738
27-May-16,102.13,102.38,101.60,101.96,2877350
26-May-16,101.20,101.96,101.01,101.90,3749200
25-May-16,101.17,101.60,100.96,101.09,3220033
24-May-16,100.91,101.38,100.69,101.09,3443147
23-May-16,100.12,100.77,100.00,100.42,4182524
20-May-16,101.71,101.79,100.00,100.10,5704211
19-May-16,100.75,101.44,100.30,101.33,4560751
18-May-16,101.95,102.00,100.27,100.91,6959123
17-May-16,104.17,104.38,102.01,102.37,5443269
16-May-16,103.98,104.65,103.63,104.13,4242845
13-May-16,105.75,106.10,103.54,104.18,7790064
12-May-16,106.13,106.40,105.58,106.10,3195174
11-May-16,106.26,106.94,105.63,105.72,3408268
10-May-16,105.43,106.63,105.33,106.57,3882675
9-May-16,104.92,105.73,104.91,105.28,4430267
6-May-16,103.68,104.97,103.68,104.96,3547052
5-May-16,103.87,104.88,103.60,104.21,3398413
4-May-16,103.51,104.44,103.13,104.02,3849008
3-May-16,103.41,103.93,103.00,103.56,3933303
2-May-16,102.74,103.87,102.64,103.43,3982003
29-Apr-16,102.93,103.17,102.40,102.96,4565167
28-Apr-16,102.17,103.15,102.16,102.97,4350039
27-Apr-16,102.72,103.36,101.91,102.63,3729936
26-Apr-16,103.20,103.40,102.19,102.60,3222897
25-Apr-16,101.80,102.83,101.61,102.80,3501217
22-Apr-16,101.17,102.06,100.94,101.98,5660156
21-Apr-16,102.34,102.34,100.42,100.99,7144926
20-Apr-16,104.23,104.35,102.39,102.44,4757900
19-Apr-16,103.81,104.61,103.76,104.32,4977396
18-Apr-16,104.16,104.59,103.50,103.72,7736825
15-Apr-16,103.24,103.81,103.01,103.77,4529527
14-Apr-16,102.73,104.09,102.71,103.16,5408608
13-Apr-16,105.34,105.35,103.76,104.12,3783756
12-Apr-16,104.17,105.12,104.12,104.91,3763952
11-Apr-16,105.16,105.77,104.16,104.30,5328359
8-Apr-16,103.99,105.25,103.90,105.08,6154454
7-Apr-16,103.34,103.97,103.03,103.60,6205686
6-Apr-16,103.25,103.99,102.87,103.92,4181576
5-Apr-16,103.77,103.93,102.87,103.10,3585985
4-Apr-16,103.80,103.95,102.77,103.82,4218786
1-Apr-16,101.97,103.89,101.94,103.78,4104449
31-Mar-16,102.54,103.45,102.30,102.48,5335352
30-Mar-16,101.46,102.89,101.41,102.69,4429367
29-Mar-16,101.05,101.64,100.76,101.37,3349334
28-Mar-16,100.96,101.61,100.82,100.98,3785458
24-Mar-16,100.70,100.92,100.15,100.68,2854584
23-Mar-16,100.69,101.76,100.53,100.81,3388462
22-Mar-16,101.28,101.51,100.43,100.77,3433189
21-Mar-16,100.91,102.12,100.32,101.54,4416018
18-Mar-16,101.67,101.94,101.01,101.29,7261849
17-Mar-16,101.00,102.12,100.79,101.87,5619669
16-Mar-16,100.94,101.34,100.01,100.83,4160937
15-Mar-16,100.27,101.57,100.25,101.15,3860309
14-Mar-16,101.13,101.45,100.62,100.65,3420108
11-Mar-16,101.00,101.41,100.59,101.31,5440434
10-Mar-16,100.45,100.88,100.02,100.78,5502377
9-Mar-16,100.00,100.58,99.74,100.20,5081603
8-Mar-16,98.97,100.12,98.74,99.74,4847897
7-Mar-16,99.25,99.60,98.97,99.25,5963606
4-Mar-16,98.81,100.00,98.57,100.00,6999538
3-Mar-16,98.35,99.23,98.02,99.16,4856529
2-Mar-16,98.05,98.36,97.54,98.33,4178828
1-Mar-16,98.50,99.14,98.05,99.09,5143263
29-Feb-16,98.36,99.02,97.79,97.82,5278431
26-Feb-16,100.49,100.54,97.84,98.36,6501494
25-Feb-16,99.83,100.70,99.83,100.67,4493269
24-Feb-16,99.00,99.75,98.40,99.68,5691199
23-Feb-16,99.89,100.00,99.38,99.54,3677294
22-Feb-16,99.98,100.56,99.58,99.87,3946431
19-Feb-16,98.46,100.18,98.46,99.58,4523186
18-Feb-16,99.57,99.97,98.97,99.62,3727005
17-Feb-16,99.00,99.89,98.80,99.55,4484351
16-Feb-16,99.20,99.30,98.10,98.60,4650716
12-Feb-16,96.40,98.59,96.15,98.49,5033347
11-Feb-16,96.39,97.94,96.09,96.90,5845642
10-Feb-16,98.21,98.73,97.52,97.62,4489458
9-Feb-16,96.69,98.79,96.44,98.28,4832350
8-Feb-16,97.14,97.89,96.40,97.52,4710360
5-Feb-16,97.64,97.71,96.80,97.32,5538440
4-Feb-16,98.68,98.90,97.00,97.39,5158374
3-Feb-16,98.87,99.03,97.60,98.72,5135300
2-Feb-16,98.65,98.68,98.00,98.21,3728389
1-Feb-16,98.53,99.40,97.52,99.03,3640868
29-Jan-16,97.87,99.30,97.58,99.30,7214010
28-Jan-16,96.43,97.90,96.08,97.45,5049114
27-Jan-16,95.89,97.28,95.56,95.94,5721482
26-Jan-16,95.91,97.22,95.76,96.32,3734991
