sep=,
Date,Open,High,Low,Close,Volume
16-Jun-15,34.30,34.75,34.26,34.67,29729847
15-Jun-15,34.54,34.57,34.40,34.41,24465457
12-Jun-15,34.75,34.96,34.64,34.65,25869065
11-Jun-15,34.82,34.98,34.78,34.88,30440848
10-Jun-15,34.59,34.76,34.59,34.72,31312320
9-Jun-15,34.59,34.79,34.50,34.51,23986602
8-Jun-15,34.50,34.72,34.50,34.59,25928796
5-Jun-15,35.16,35.17,34.50,34.57,36713215
4-Jun-15,34.92,35.48,34.78,35.27,56219033
3-Jun-15,34.45,35.17,34.36,35.03,39115938
2-Jun-15,34.37,34.53,34.28,34.36,19508848
1-Jun-15,34.53,34.60,34.24,34.35,28235746
29-May-15,34.75,34.82,34.54,34.54,29885075
28-May-15,34.96,34.97,34.64,34.80,19591680
27-May-15,34.75,35.10,34.60,34.95,36633602
26-May-15,34.60,34.76,34.26,34.67,40654956
22-May-15,34.89,35.03,34.62,34.71,26349206
21-May-15,34.55,35.22,34.52,35.07,41576038
20-May-15,34.43,34.71,34.29,34.62,27280899
19-May-15,34.79,34.85,34.17,34.37,38270674
18-May-15,34.28,35.02,34.26,34.87,59611861
15-May-15,34.11,34.38,34.01,34.33,28264128
14-May-15,34.08,34.20,34.00,34.13,23908724
13-May-15,33.63,34.14,33.57,33.90,34748757
12-May-15,33.31,33.94,33.04,33.66,41281635
11-May-15,33.65,33.70,33.38,33.49,21479715
8-May-15,33.72,33.83,33.59,33.69,27681434
7-May-15,33.25,33.56,33.11,33.37,22643503
6-May-15,33.71,33.79,33.08,33.38,30701511
5-May-15,34.49,34.58,33.66,33.72,31805035
4-May-15,34.41,34.71,34.25,34.53,21304960
1-May-15,34.56,34.72,34.13,34.42,34167621
30-Apr-15,34.70,34.90,34.55,34.64,29693238
29-Apr-15,34.58,35.23,34.54,34.76,40722497
28-Apr-15,34.28,34.98,34.17,34.86,48688362
27-Apr-15,34.05,34.30,34.04,34.09,24468943
24-Apr-15,34.21,34.32,33.96,34.01,42046912
23-Apr-15,33.45,34.40,33.33,34.23,91372881
22-Apr-15,32.78,32.89,32.55,32.86,29775479
21-Apr-15,32.84,32.85,32.58,32.66,19720409
20-Apr-15,32.65,32.87,32.65,32.83,24314582
17-Apr-15,32.65,32.70,32.37,32.51,29716225
16-Apr-15,32.76,32.90,32.70,32.75,17597252
15-Apr-15,32.71,32.96,32.64,32.89,19856010
14-Apr-15,32.92,32.93,32.62,32.69,18265057
13-Apr-15,32.76,33.07,32.70,32.88,22730981
10-Apr-15,32.77,32.83,32.65,32.77,15063632
9-Apr-15,32.58,32.79,32.44,32.69,21073712
8-Apr-15,32.73,32.85,32.56,32.65,21381233
7-Apr-15,33.35,33.45,33.16,33.16,24004977
6-Apr-15,33.15,33.41,33.06,33.33,22972509
2-Apr-15,32.90,33.23,32.82,33.13,19273905
1-Apr-15,32.62,32.91,32.54,32.89,25365035
31-Mar-15,32.97,33.03,32.65,32.65,27900236
30-Mar-15,32.82,33.04,32.80,32.97,18904259
27-Mar-15,32.94,32.95,32.70,32.75,20852749
26-Mar-15,32.63,33.13,32.61,32.82,30624186
25-Mar-15,33.02,33.11,32.62,32.62,29163095
24-Mar-15,33.23,33.42,33.07,33.07,20127168
23-Mar-15,33.37,33.68,33.28,33.28,23983771
20-Mar-15,33.27,33.60,33.21,33.23,38651753
19-Mar-15,33.51,33.51,33.18,33.20,19913718
18-Mar-15,32.93,33.59,32.69,33.59,47849320
17-Mar-15,32.85,33.12,32.77,32.90,23903202
16-Mar-15,32.79,33.10,32.68,33.06,20531508
13-Mar-15,32.99,33.03,32.60,32.76,26808003
12-Mar-15,32.84,33.21,32.70,33.13,27016791
11-Mar-15,32.88,32.89,32.52,32.62,29021649
