sep=,
Date,Open,High,Low,Close,Volume
15-Jun-16,40.44,40.57,40.27,40.29,19480526
14-Jun-16,40.17,40.47,39.93,40.38,23015012
13-Jun-16,40.19,40.46,40.13,40.19,16769475
10-Jun-16,39.95,40.53,39.88,40.33,25865528
9-Jun-16,39.83,40.17,39.65,40.09,20692359
8-Jun-16,39.72,39.87,39.64,39.86,14426365
7-Jun-16,39.37,39.89,39.33,39.79,24912512
6-Jun-16,39.22,39.48,39.18,39.34,16739113
3-Jun-16,38.97,39.27,38.93,39.21,19244872
2-Jun-16,38.73,38.84,38.58,38.84,12301701
1-Jun-16,39.10,39.12,38.61,38.73,17055682
31-May-16,39.03,39.20,38.94,39.15,27940040
27-May-16,38.83,38.99,38.60,38.99,15665742
26-May-16,38.69,38.99,38.64,38.84,15920646
25-May-16,38.67,38.72,38.45,38.62,14702987
24-May-16,38.46,38.56,38.39,38.50,14125610
23-May-16,38.48,38.51,38.26,38.32,15368659
20-May-16,38.64,38.68,38.31,38.45,20244213
19-May-16,38.27,38.47,37.77,38.44,27308452
18-May-16,39.09,39.15,38.27,38.45,25373045
17-May-16,39.24,39.33,39.00,39.11,21441007
16-May-16,38.95,39.30,38.90,39.28,15043081
13-May-16,39.49,39.52,39.11,39.15,16134779
12-May-16,39.30,39.67,39.20,39.55,18732200
11-May-16,39.27,39.34,39.02,39.18,14342719
10-May-16,39.02,39.38,38.98,39.31,17184740
9-May-16,38.99,39.11,38.83,38.86,13489805
6-May-16,38.78,38.99,38.47,38.99,15653632
5-May-16,38.94,38.99,38.66,38.74,16145762
4-May-16,38.75,39.00,38.58,38.88,15476563
3-May-16,39.02,39.08,38.68,38.91,21713359
2-May-16,38.87,39.15,38.78,39.10,21949757
29-Apr-16,38.64,38.88,38.48,38.82,25340629
28-Apr-16,38.72,38.88,38.55,38.64,20203223
27-Apr-16,37.86,38.91,37.73,38.72,41400431
26-Apr-16,38.32,38.41,37.90,38.09,20532144
25-Apr-16,38.03,38.23,37.86,38.21,17580204
22-Apr-16,37.85,38.16,37.85,38.07,24226091
21-Apr-16,38.53,38.58,37.85,37.86,31877809
20-Apr-16,38.99,39.01,38.66,38.72,16768149
19-Apr-16,38.80,38.93,38.53,38.92,15808551
18-Apr-16,38.57,38.80,38.35,38.65,17330355
15-Apr-16,38.46,38.60,38.40,38.48,15736952
14-Apr-16,38.25,38.58,38.24,38.42,13755541
13-Apr-16,38.78,38.84,38.18,38.25,22499057
12-Apr-16,38.47,38.79,38.38,38.67,17542357
11-Apr-16,38.67,38.68,38.33,38.39,17661066
8-Apr-16,38.73,38.90,38.37,38.50,17558758
7-Apr-16,38.35,38.61,38.22,38.59,22210004
