sep=,
Date,Open,High,Low,Close,Volume
16-Jun-15,2.30,2.30,2.21,2.26,63416
15-Jun-15,2.30,2.30,2.26,2.30,43877
12-Jun-15,2.30,2.30,2.27,2.30,22520
11-Jun-15,2.30,2.31,2.28,2.29,76516
10-Jun-15,2.31,2.39,2.28,2.30,74982
9-Jun-15,2.48,2.48,2.28,2.29,39987
8-Jun-15,2.38,2.44,2.28,2.35,40273
5-Jun-15,2.33,2.44,2.30,2.41,48080
4-Jun-15,2.46,2.46,2.30,2.36,37672
3-Jun-15,2.39,2.47,2.36,2.45,42096
2-Jun-15,2.45,2.45,2.30,2.37,19267
1-Jun-15,2.35,2.45,2.30,2.45,44710
29-May-15,2.41,2.42,2.29,2.32,50550
28-May-15,2.40,2.40,2.26,2.33,51837
27-May-15,2.33,2.42,2.29,2.31,51561
26-May-15,2.30,2.38,2.25,2.31,67921
22-May-15,2.22,2.35,2.18,2.32,46303
21-May-15,2.26,2.30,2.20,2.24,135997
20-May-15,2.37,2.51,2.15,2.28,138767
19-May-15,2.41,2.44,2.35,2.36,64910
18-May-15,2.33,2.55,2.27,2.41,42781
15-May-15,2.41,2.57,2.32,2.35,97219
14-May-15,2.57,2.66,2.34,2.42,87861
13-May-15,2.70,2.75,2.51,2.53,45693
12-May-15,2.51,2.70,2.40,2.70,89433
11-May-15,2.48,2.67,2.35,2.53,151454
8-May-15,2.63,2.80,2.40,2.52,424633
7-May-15,2.35,2.93,2.26,2.61,582515
6-May-15,3.83,3.86,1.45,2.40,2905518
5-May-15,3.94,3.98,3.73,3.78,340025
4-May-15,3.89,4.07,3.82,3.92,453698
1-May-15,3.90,3.97,3.62,3.90,1883037
30-Apr-15,4.19,4.36,4.19,4.35,51217
29-Apr-15,4.05,4.20,4.05,4.15,21495
28-Apr-15,4.23,4.34,4.04,4.05,82848
27-Apr-15,4.35,4.47,4.15,4.28,104192
24-Apr-15,5.00,5.00,4.28,4.31,217058
23-Apr-15,4.94,5.02,4.74,4.82,84737
22-Apr-15,4.94,4.94,4.70,4.70,56980
21-Apr-15,4.90,4.95,4.56,4.91,157245
20-Apr-15,5.20,5.30,4.58,4.66,455396
17-Apr-15,4.07,4.25,4.07,4.08,32850
16-Apr-15,4.39,4.44,4.12,4.13,43197
15-Apr-15,4.20,4.40,4.08,4.30,30166
14-Apr-15,4.15,4.19,4.07,4.19,18240
13-Apr-15,4.10,4.18,4.07,4.12,24908
10-Apr-15,4.27,4.27,4.08,4.11,16143
9-Apr-15,4.17,4.21,4.15,4.20,17528
8-Apr-15,4.22,4.22,4.13,4.19,16700
7-Apr-15,4.09,4.22,4.08,4.17,21913
6-Apr-15,4.12,4.22,4.05,4.15,39073
2-Apr-15,4.34,4.52,3.91,4.03,74915
1-Apr-15,4.34,4.53,4.24,4.40,10039
31-Mar-15,4.55,4.55,4.30,4.38,21175
30-Mar-15,4.50,4.55,4.49,4.54,50229
27-Mar-15,4.20,4.60,4.20,4.52,118643
26-Mar-15,4.26,4.35,4.13,4.26,42693
25-Mar-15,4.70,4.78,4.20,4.24,34457
24-Mar-15,4.39,4.71,4.26,4.67,28439
23-Mar-15,4.33,4.77,4.16,4.31,34342
20-Mar-15,4.57,4.88,4.30,4.30,20948
19-Mar-15,4.58,4.59,4.42,4.49,37462
18-Mar-15,4.57,4.61,4.37,4.51,26297
17-Mar-15,4.54,4.95,4.43,4.55,102630
16-Mar-15,4.36,4.57,4.06,4.54,90415
13-Mar-15,4.78,4.82,4.31,4.37,80818
12-Mar-15,4.84,4.84,4.77,4.77,10659
11-Mar-15,4.92,4.95,4.74,4.79,49027
10-Mar-15,4.99,4.99,4.85,4.86,9544
9-Mar-15,4.97,5.00,4.82,4.90,27427
6-Mar-15,4.99,5.00,4.87,4.90,57807
5-Mar-15,5.00,5.22,4.89,4.99,61653
4-Mar-15,4.69,5.09,4.50,5.06,122214
3-Mar-15,4.81,4.81,4.61,4.70,20856
2-Mar-15,4.85,5.10,4.73,4.78,43746
27-Feb-15,4.96,4.96,4.55,4.82,30559
26-Feb-15,4.79,4.97,4.76,4.83,20285
25-Feb-15,4.98,4.98,4.74,4.87,31559
24-Feb-15,5.00,5.07,4.83,4.99,28269
23-Feb-15,4.97,5.00,4.90,5.00,47838
20-Feb-15,5.02,5.20,4.86,4.94,46512
19-Feb-15,5.20,5.32,4.96,4.96,39953
18-Feb-15,5.16,5.24,5.03,5.23,23864
17-Feb-15,5.16,5.21,4.89,5.19,20034
13-Feb-15,4.70,5.41,4.70,5.12,40979
12-Feb-15,4.76,4.81,4.67,4.76,20102
11-Feb-15,4.73,4.85,4.73,4.78,32204
10-Feb-15,4.86,4.92,4.62,4.72,35853
9-Feb-15,5.05,5.05,4.73,4.92,35120
6-Feb-15,5.11,5.15,4.83,5.02,16466
5-Feb-15,4.60,5.14,4.60,5.14,33467
4-Feb-15,4.59,4.80,4.51,4.52,39609
3-Feb-15,4.90,4.99,4.59,4.63,54621
2-Feb-15,4.96,5.00,4.84,4.87,34315
30-Jan-15,4.88,5.00,4.85,4.96,44803
29-Jan-15,5.28,5.55,4.94,5.00,71771
28-Jan-15,5.74,5.96,5.25,5.25,44498
27-Jan-15,5.30,5.86,5.25,5.70,53283
26-Jan-15,5.83,5.96,5.40,5.50,60440
23-Jan-15,5.61,5.94,5.60,5.83,70113
22-Jan-15,5.57,5.72,5.41,5.61,39688
21-Jan-15,6.02,6.18,5.55,5.58,117120
20-Jan-15,6.10,6.10,5.96,6.01,55622
16-Jan-15,6.00,6.21,5.99,6.03,41455
15-Jan-15,6.21,6.21,5.97,6.05,72853
14-Jan-15,6.15,6.15,5.78,6.09,24311
13-Jan-15,6.20,6.25,5.93,6.21,104255
12-Jan-15,5.45,6.12,5.30,6.10,106875
9-Jan-15,5.48,5.50,5.26,5.45,40627
8-Jan-15,5.32,5.45,5.02,5.45,60992
7-Jan-15,5.04,5.32,4.80,5.32,40834
6-Jan-15,5.44,5.44,4.86,4.87,80491
5-Jan-15,5.28,5.38,4.95,5.30,127242
2-Jan-15,4.91,5.23,4.83,5.19,61922
31-Dec-14,4.56,4.87,4.55,4.82,75587
30-Dec-14,4.37,4.51,4.20,4.50,74134
29-Dec-14,4.53,4.69,4.44,4.45,43321
26-Dec-14,4.45,4.58,4.42,4.55,15652
24-Dec-14,4.39,4.50,4.35,4.45,26786
23-Dec-14,4.70,4.75,4.40,4.54,81728
22-Dec-14,4.65,5.05,4.65,4.67,73376
19-Dec-14,4.80,4.99,4.62,4.83,103569
18-Dec-14,5.63,5.63,4.50,5.05,84821
17-Dec-14,4.50,4.61,4.26,4.30,224592
16-Dec-14,5.71,5.95,4.32,4.46,469165
15-Dec-14,6.02,6.10,5.81,5.85,92130
12-Dec-14,6.25,6.25,5.90,6.02,125966
11-Dec-14,6.20,6.25,5.92,6.07,156290
10-Dec-14,6.25,6.25,6.05,6.20,118339
9-Dec-14,6.19,6.27,5.95,6.15,214253
8-Dec-14,6.07,6.27,5.97,6.12,192112
5-Dec-14,5.75,6.30,5.61,5.95,530307
4-Dec-14,4.75,5.64,4.56,5.44,327467
3-Dec-14,4.96,5.05,4.66,4.77,102324
2-Dec-14,4.93,5.05,4.80,5.01,92367
1-Dec-14,4.81,4.99,4.70,4.86,78627
28-Nov-14,4.90,4.92,4.75,4.84,25511
26-Nov-14,4.77,5.00,4.67,4.91,94526
25-Nov-14,5.06,5.06,4.80,4.84,130946
24-Nov-14,4.97,4.99,4.73,4.86,244251
21-Nov-14,4.99,5.17,4.75,4.98,146100
20-Nov-14,4.80,4.90,4.73,4.76,34536
19-Nov-14,4.67,4.99,4.52,4.85,113486
18-Nov-14,4.59,4.98,4.59,4.61,156107
17-Nov-14,4.08,4.60,4.08,4.52,202758
14-Nov-14,4.00,4.15,3.99,4.14,64583
13-Nov-14,4.02,4.31,4.02,4.09,103263
12-Nov-14,3.94,4.00,3.89,3.97,72188
11-Nov-14,3.96,4.11,3.81,3.94,38564
10-Nov-14,4.01,4.34,3.72,3.93,68379
7-Nov-14,3.86,4.08,3.84,3.95,35897
6-Nov-14,3.85,3.86,3.62,3.83,66353
5-Nov-14,3.86,3.98,3.85,3.87,13699
4-Nov-14,3.88,3.99,3.80,3.90,23498
3-Nov-14,3.90,3.94,3.79,3.83,8333
31-Oct-14,3.94,3.94,3.80,3.88,4946
30-Oct-14,3.90,3.94,3.86,3.89,5659
29-Oct-14,3.91,4.00,3.83,3.86,14633
28-Oct-14,4.06,4.11,3.88,3.98,15707
27-Oct-14,3.95,4.17,3.85,4.00,10609
24-Oct-14,3.82,3.98,3.82,3.98,4654
23-Oct-14,4.00,4.20,3.85,3.86,24279
22-Oct-14,4.14,4.18,3.93,3.99,27455
21-Oct-14,4.25,4.25,4.04,4.13,39298
20-Oct-14,3.96,4.15,3.84,4.13,35852
17-Oct-14,3.77,3.92,3.72,3.87,10854
16-Oct-14,3.52,3.80,3.52,3.70,35189
15-Oct-14,3.63,3.93,3.61,3.62,4540
14-Oct-14,3.61,3.76,3.52,3.63,26045
13-Oct-14,3.71,3.94,3.51,3.60,39306
10-Oct-14,3.93,3.93,3.63,3.71,140728
9-Oct-14,4.01,4.01,3.87,3.97,11941
8-Oct-14,4.03,4.13,3.90,4.00,33132
7-Oct-14,4.15,4.25,3.96,4.08,31780
6-Oct-14,4.12,4.39,4.10,4.13,10496
3-Oct-14,4.27,4.32,4.04,4.14,123084
2-Oct-14,4.15,4.40,4.09,4.26,33648
1-Oct-14,4.26,4.26,3.98,4.18,29546
30-Sep-14,4.23,4.27,4.09,4.16,17992
29-Sep-14,4.09,4.32,3.80,4.28,28157
26-Sep-14,4.22,4.27,4.14,4.16,15513
25-Sep-14,4.12,4.22,4.10,4.17,34796
24-Sep-14,3.96,4.20,3.96,4.12,32519
23-Sep-14,3.62,4.08,3.62,3.95,64101
22-Sep-14,3.68,3.80,3.55,3.61,75508
19-Sep-14,3.97,4.05,3.75,3.75,90688
18-Sep-14,4.07,4.10,3.76,3.93,102826
17-Sep-14,4.17,4.28,3.99,4.10,67484
16-Sep-14,4.53,4.53,4.12,4.22,58116
15-Sep-14,4.47,4.75,4.37,4.44,22400
12-Sep-14,4.60,4.67,4.48,4.48,22964
11-Sep-14,4.71,4.82,4.60,4.62,17899
10-Sep-14,4.62,4.82,4.62,4.73,24400
9-Sep-14,4.70,4.75,4.55,4.63,29715
8-Sep-14,4.74,4.88,4.65,4.70,37601
5-Sep-14,4.86,4.91,4.67,4.77,42084
4-Sep-14,4.81,5.01,4.76,4.85,124861
3-Sep-14,4.64,4.85,4.45,4.70,153601
2-Sep-14,4.41,4.52,4.34,4.45,23055
29-Aug-14,4.46,4.57,4.44,4.45,52107
28-Aug-14,4.45,4.56,4.30,4.42,29636
27-Aug-14,4.51,4.68,4.39,4.48,46042
26-Aug-14,4.47,4.70,4.39,4.49,71689
25-Aug-14,4.45,4.61,4.44,4.46,30902
22-Aug-14,4.38,4.53,4.34,4.40,68610
21-Aug-14,4.40,4.45,4.27,4.38,46041
20-Aug-14,4.50,4.56,4.36,4.47,54773
19-Aug-14,4.44,4.59,4.35,4.49,77278
18-Aug-14,4.54,4.66,4.36,4.43,55149
15-Aug-14,4.44,4.69,4.35,4.48,86046
14-Aug-14,4.46,4.55,4.42,4.43,13900
13-Aug-14,4.52,4.58,4.41,4.49,22254
12-Aug-14,4.57,4.65,4.38,4.50,29269
11-Aug-14,4.50,4.84,4.50,4.59,37845
8-Aug-14,4.68,4.95,4.26,4.45,159291
7-Aug-14,4.31,5.05,4.27,4.76,79818
6-Aug-14,4.35,4.60,4.30,4.54,37083
5-Aug-14,4.56,4.78,4.40,4.42,67955
4-Aug-14,4.54,4.71,4.50,4.52,12213
1-Aug-14,4.71,4.77,4.52,4.57,22909
31-Jul-14,4.79,4.89,4.53,4.72,30101
30-Jul-14,5.01,5.13,4.76,4.87,20759
29-Jul-14,5.18,5.18,4.83,4.92,34087
28-Jul-14,5.02,5.10,4.86,5.07,9463
25-Jul-14,4.99,5.07,4.87,5.04,21698
24-Jul-14,5.07,5.29,4.96,5.03,13195
23-Jul-14,5.10,5.15,5.00,5.06,28440
22-Jul-14,5.01,5.27,5.00,5.14,40741
21-Jul-14,5.06,5.08,4.83,4.92,15274
18-Jul-14,4.80,4.92,4.80,4.82,16181
17-Jul-14,4.86,4.94,4.78,4.81,29956
16-Jul-14,4.79,5.29,4.77,4.84,178800
15-Jul-14,5.00,5.16,4.75,4.76,74426
14-Jul-14,5.14,5.26,4.93,4.96,39133
11-Jul-14,5.26,5.26,5.06,5.14,18389
10-Jul-14,5.06,5.20,5.06,5.12,28914
9-Jul-14,5.34,5.47,5.16,5.25,77273
8-Jul-14,5.44,5.44,5.15,5.35,103314
7-Jul-14,5.77,5.77,5.42,5.49,58351
3-Jul-14,5.95,6.00,5.80,5.84,30353
2-Jul-14,6.12,6.17,5.85,5.97,73095
1-Jul-14,6.00,6.22,5.75,6.03,153807
30-Jun-14,5.52,5.95,5.43,5.89,101087
27-Jun-14,5.19,5.47,5.11,5.47,435771
26-Jun-14,5.45,5.72,5.24,5.29,154927
25-Jun-14,5.04,5.26,5.00,5.10,37005
24-Jun-14,5.31,5.35,5.01,5.04,36636
23-Jun-14,5.54,5.55,5.01,5.25,77920
20-Jun-14,5.76,5.83,5.28,5.56,178919
19-Jun-14,5.90,6.08,5.70,5.77,36826
18-Jun-14,6.01,6.19,5.61,5.84,102009
