sep=,
Date,Open,High,Low,Close,Volume
15-Jun-16,0.29,0.30,0.26,0.28,241043
14-Jun-16,0.29,0.29,0.27,0.29,236952
13-Jun-16,0.29,0.31,0.27,0.29,474226
10-Jun-16,0.31,0.32,0.24,0.29,838144
9-Jun-16,0.33,0.33,0.28,0.31,301725
8-Jun-16,0.34,0.34,0.32,0.33,397204
7-Jun-16,0.37,0.38,0.33,0.35,436790
6-Jun-16,0.38,0.39,0.35,0.36,473617
3-Jun-16,0.35,0.40,0.35,0.37,1001758
2-Jun-16,0.33,0.38,0.31,0.36,1322802
1-Jun-16,0.33,0.35,0.30,0.32,352221
31-May-16,0.30,0.34,0.28,0.33,358128
27-May-16,0.32,0.32,0.28,0.30,318819
26-May-16,0.34,0.40,0.29,0.32,1742837
25-May-16,0.31,0.36,0.29,0.34,1965112
24-May-16,0.27,0.32,0.25,0.28,1270678
23-May-16,0.27,0.27,0.25,0.26,294782
20-May-16,0.26,0.26,0.21,0.25,196006
19-May-16,0.25,0.27,0.25,0.25,195287
18-May-16,0.25,0.28,0.25,0.25,604834
17-May-16,0.21,0.27,0.21,0.25,719302
16-May-16,0.21,0.22,0.20,0.20,195439
13-May-16,0.22,0.23,0.20,0.21,218931
12-May-16,0.24,0.24,0.22,0.22,204138
11-May-16,0.23,0.25,0.21,0.22,236669
10-May-16,0.26,0.27,0.24,0.25,186380
9-May-16,0.28,0.28,0.23,0.25,448635
6-May-16,0.27,0.27,0.26,0.26,340870
5-May-16,0.29,0.30,0.26,0.27,672520
4-May-16,0.29,0.33,0.28,0.28,857055
3-May-16,0.27,0.39,0.25,0.29,1639039
2-May-16,0.31,0.33,0.26,0.27,1278468
29-Apr-16,0.34,0.35,0.30,0.31,951024
28-Apr-16,0.40,0.40,0.34,0.36,1066061
27-Apr-16,0.33,0.42,0.31,0.38,2146235
26-Apr-16,0.49,0.49,0.33,0.35,5086120
25-Apr-16,0.34,0.62,0.31,0.49,13352171
22-Apr-16,0.23,0.30,0.23,0.30,2408372
21-Apr-16,0.23,0.23,0.21,0.22,199267
20-Apr-16,0.23,0.25,0.22,0.22,386515
19-Apr-16,0.25,0.25,0.22,0.23,493487
18-Apr-16,0.24,0.25,0.22,0.23,501808
15-Apr-16,0.20,0.29,0.20,0.22,1930454
14-Apr-16,0.18,0.22,0.17,0.22,1039312
13-Apr-16,0.18,0.18,0.16,0.17,55383
12-Apr-16,0.18,0.18,0.17,0.17,308422
11-Apr-16,0.16,0.18,0.16,0.18,47796
8-Apr-16,0.17,0.17,0.16,0.16,129059
7-Apr-16,0.16,0.17,0.15,0.16,87014
6-Apr-16,0.17,0.17,0.15,0.16,96934
5-Apr-16,0.17,0.18,0.15,0.16,453319
4-Apr-16,0.18,0.19,0.16,0.17,288416
1-Apr-16,0.18,0.19,0.18,0.18,153609
31-Mar-16,0.18,0.18,0.18,0.18,200903
30-Mar-16,0.18,0.18,0.18,0.18,37634
29-Mar-16,0.18,0.19,0.18,0.18,188782
28-Mar-16,0.20,0.20,0.18,0.18,180246
24-Mar-16,0.19,0.20,0.18,0.19,252461
23-Mar-16,0.21,0.22,0.18,0.18,449235
22-Mar-16,0.21,0.22,0.19,0.20,355809
21-Mar-16,0.19,0.25,0.18,0.21,1234130
18-Mar-16,0.18,0.20,0.17,0.18,549841
17-Mar-16,0.18,0.20,0.17,0.17,614073
16-Mar-16,0.21,0.22,0.18,0.19,517578
15-Mar-16,0.18,0.23,0.16,0.21,1146074
14-Mar-16,0.18,0.18,0.15,0.16,233952
11-Mar-16,0.16,0.18,0.15,0.17,482491
10-Mar-16,0.18,0.19,0.15,0.16,508972
9-Mar-16,0.21,0.23,0.17,0.18,307089
8-Mar-16,0.24,0.27,0.17,0.20,924246
7-Mar-16,0.20,0.27,0.20,0.21,1902875
4-Mar-16,0.12,0.22,0.12,0.18,3573534
3-Mar-16,0.11,0.15,0.11,0.12,1154801
2-Mar-16,0.12,0.12,0.10,0.11,264061
1-Mar-16,0.11,0.12,0.10,0.10,294001
29-Feb-16,0.11,0.12,0.11,0.11,236155
26-Feb-16,0.10,0.14,0.10,0.11,373786
25-Feb-16,0.13,0.14,0.09,0.11,784851
24-Feb-16,0.13,0.14,0.12,0.13,266275
23-Feb-16,0.14,0.14,0.11,0.13,1546929
22-Feb-16,0.14,0.15,0.14,0.14,239909
19-Feb-16,0.15,0.15,0.14,0.14,210725
18-Feb-16,0.15,0.15,0.14,0.15,262394
17-Feb-16,0.15,0.16,0.15,0.15,291040
16-Feb-16,0.15,0.16,0.14,0.15,189164
12-Feb-16,0.16,0.16,0.14,0.15,530360
11-Feb-16,0.15,0.16,0.14,0.14,278115
10-Feb-16,0.16,0.16,0.15,0.15,314864
9-Feb-16,0.23,0.23,0.14,0.15,674430
8-Feb-16,0.21,0.23,0.16,0.16,566564
5-Feb-16,0.14,0.24,0.13,0.20,2585366
4-Feb-16,0.15,0.15,0.13,0.14,846257
3-Feb-16,0.16,0.16,0.13,0.15,302167
2-Feb-16,0.20,0.20,0.15,0.16,942405
1-Feb-16,0.25,0.25,0.19,0.20,928578
29-Jan-16,0.26,0.28,0.25,0.25,145694
28-Jan-16,0.26,0.26,0.25,0.26,194526
27-Jan-16,0.30,0.30,0.23,0.26,674356
26-Jan-16,0.31,0.32,0.30,0.30,253403
25-Jan-16,0.30,0.34,0.30,0.31,396677
22-Jan-16,0.30,0.30,0.29,0.30,204352
21-Jan-16,0.28,0.31,0.28,0.29,256114
20-Jan-16,0.27,0.29,0.25,0.27,342215
19-Jan-16,0.29,0.29,0.26,0.29,268212
15-Jan-16,0.30,0.33,0.26,0.28,545863
14-Jan-16,0.34,0.36,0.27,0.29,685709
