sep=,
Date,Open,High,Low,Close,Volume
16-Jun-15,22.40,22.46,20.99,21.61,112776
15-Jun-15,23.11,23.41,21.66,22.47,96401
12-Jun-15,23.84,24.60,22.78,23.27,74997
11-Jun-15,24.01,24.55,23.67,24.00,80472
10-Jun-15,23.80,24.28,23.52,24.06,182782
9-Jun-15,23.19,23.67,22.67,23.66,54266
8-Jun-15,22.67,23.19,22.50,23.05,33534
5-Jun-15,22.31,23.27,21.62,22.79,130580
4-Jun-15,22.34,23.60,21.95,22.37,203926
3-Jun-15,21.46,22.71,21.04,22.48,101369
2-Jun-15,21.77,21.96,21.34,21.49,68877
1-Jun-15,21.80,22.21,21.08,21.71,130051
29-May-15,21.63,22.00,21.26,21.70,105611
28-May-15,21.35,21.86,21.08,21.60,94963
27-May-15,21.28,22.16,20.75,21.71,210722
26-May-15,21.92,21.95,20.76,21.15,250207
22-May-15,21.05,22.24,20.93,21.99,143266
21-May-15,21.70,22.18,20.76,21.04,161570
20-May-15,22.29,22.40,21.61,21.81,142716
19-May-15,22.32,22.64,21.83,22.14,203537
18-May-15,22.33,22.68,22.04,22.23,240596
15-May-15,23.38,23.60,22.19,22.60,250733
14-May-15,23.00,25.35,22.66,23.50,267419
13-May-15,23.70,24.34,22.50,22.73,261895
12-May-15,24.07,24.72,23.54,24.50,72699
11-May-15,24.35,24.59,23.66,24.07,73814
8-May-15,24.24,24.67,23.58,24.46,48851
7-May-15,24.08,24.27,23.27,23.92,70821
6-May-15,24.28,24.79,23.38,23.63,345014
5-May-15,24.43,24.49,23.21,24.30,125948
4-May-15,23.95,25.14,23.95,24.51,67675
1-May-15,24.22,24.89,23.78,24.48,51323
30-Apr-15,26.65,26.89,24.15,24.31,86687
29-Apr-15,27.60,27.80,26.45,26.92,100446
28-Apr-15,28.55,28.55,27.01,27.73,113207
27-Apr-15,29.67,29.67,27.51,28.65,136207
24-Apr-15,29.18,29.51,28.31,29.37,78532
23-Apr-15,28.21,29.20,27.70,29.18,80976
22-Apr-15,27.62,28.59,27.08,28.21,87193
21-Apr-15,27.28,27.67,26.81,27.62,57118
20-Apr-15,26.97,27.25,25.29,27.23,86128
17-Apr-15,27.19,27.64,26.09,26.83,68739
16-Apr-15,27.01,28.00,27.01,27.53,78615
15-Apr-15,27.88,27.88,26.82,27.11,40029
14-Apr-15,26.60,28.25,26.32,27.86,82650
13-Apr-15,25.78,26.51,25.00,26.48,81717
10-Apr-15,26.25,26.25,25.33,25.69,58999
9-Apr-15,25.70,26.20,24.63,26.15,74091
8-Apr-15,24.46,26.20,24.46,25.68,58685
7-Apr-15,24.95,25.07,24.18,24.51,43995
6-Apr-15,23.94,24.98,23.65,24.08,26074
2-Apr-15,23.91,24.64,23.66,24.04,55181
1-Apr-15,25.31,25.59,23.74,24.01,96266
31-Mar-15,25.38,25.48,24.67,25.01,51499
30-Mar-15,25.79,26.48,24.80,25.46,68411
27-Mar-15,25.76,26.94,25.04,25.50,44075
26-Mar-15,24.72,26.16,23.96,26.01,79829
25-Mar-15,26.50,26.50,24.79,25.00,65684
24-Mar-15,24.70,26.51,24.53,26.13,67720
23-Mar-15,24.49,24.80,23.59,24.48,67566
20-Mar-15,27.41,27.50,24.31,24.86,206293
19-Mar-15,27.18,27.74,26.46,27.37,60688
18-Mar-15,27.97,28.25,27.13,27.31,116902
17-Mar-15,27.62,28.93,27.62,27.87,30976
16-Mar-15,27.17,28.18,26.73,28.12,75565
13-Mar-15,27.43,27.43,26.09,26.81,37169
12-Mar-15,26.37,27.34,25.52,27.27,59476
11-Mar-15,24.99,26.64,24.75,25.96,69389
10-Mar-15,24.23,25.50,24.16,24.73,50324
9-Mar-15,24.02,24.55,23.50,24.50,62467
6-Mar-15,23.52,24.08,23.14,23.82,76683
5-Mar-15,22.94,24.17,22.79,23.59,54697
4-Mar-15,22.31,23.08,21.70,22.98,43244
3-Mar-15,22.23,22.57,22.06,22.51,45167
2-Mar-15,22.16,22.55,21.96,22.37,26919
27-Feb-15,22.30,22.30,21.68,22.15,424207
26-Feb-15,22.68,22.68,22.15,22.39,27065
25-Feb-15,22.64,22.87,22.15,22.53,63199
24-Feb-15,22.29,22.48,21.74,22.35,52759
23-Feb-15,22.00,22.48,21.73,22.20,96536
20-Feb-15,21.25,22.00,21.04,21.96,53205
19-Feb-15,20.57,21.29,20.45,21.20,69631
18-Feb-15,21.42,21.66,20.52,20.95,101700
17-Feb-15,21.60,21.83,21.21,21.40,48533
13-Feb-15,21.05,22.00,21.00,21.43,70693
