sep=,
Date,Open,High,Low,Close,Volume
15-Jun-16,7.99,8.36,7.89,8.01,70478
14-Jun-16,7.90,8.03,7.73,7.99,70718
13-Jun-16,7.56,8.05,7.56,7.89,41695
10-Jun-16,7.70,7.95,7.55,7.59,83366
9-Jun-16,8.05,8.05,7.61,7.82,199090
8-Jun-16,7.64,8.06,7.49,8.00,56990
7-Jun-16,7.72,7.74,7.50,7.56,177258
6-Jun-16,7.52,7.74,7.50,7.63,34999
3-Jun-16,7.74,7.77,7.42,7.53,41655
2-Jun-16,8.04,8.14,7.63,7.71,83988
1-Jun-16,8.12,8.18,7.90,8.09,38578
31-May-16,8.36,8.38,8.06,8.13,103056
27-May-16,8.10,8.30,7.93,8.30,30079
26-May-16,8.26,8.26,8.01,8.10,40507
25-May-16,8.18,8.29,8.17,8.26,121419
24-May-16,8.27,8.30,8.05,8.17,71275
23-May-16,8.14,8.27,8.13,8.16,24820
20-May-16,8.21,8.22,8.01,8.20,43015
19-May-16,8.08,8.21,7.90,8.17,196068
18-May-16,8.18,8.48,8.07,8.27,29014
17-May-16,8.40,8.63,8.20,8.23,50686
16-May-16,8.27,8.58,8.27,8.37,42149
13-May-16,8.34,8.40,8.25,8.28,44274
12-May-16,9.21,9.21,8.28,8.33,151561
11-May-16,8.62,9.25,8.42,9.16,72479
10-May-16,8.48,8.65,8.18,8.63,54716
9-May-16,8.30,8.51,8.13,8.32,32466
6-May-16,8.28,8.39,8.07,8.31,32266
5-May-16,8.33,8.44,8.17,8.33,30876
4-May-16,8.21,8.40,8.14,8.20,28020
3-May-16,8.31,8.42,8.06,8.26,47980
2-May-16,8.66,8.66,8.19,8.44,46875
29-Apr-16,8.82,8.97,8.51,8.57,84211
28-Apr-16,8.89,9.12,8.77,8.88,50362
27-Apr-16,9.11,9.11,8.82,8.89,30828
26-Apr-16,9.21,9.21,9.02,9.12,45634
25-Apr-16,9.19,9.24,9.07,9.20,33899
22-Apr-16,9.23,9.25,8.94,9.21,90421
21-Apr-16,9.17,9.29,9.11,9.19,120170
20-Apr-16,8.87,9.30,8.86,9.17,40210
19-Apr-16,9.06,9.25,8.91,9.14,89810
18-Apr-16,9.01,9.28,9.01,9.07,56420
15-Apr-16,9.16,9.25,9.02,9.09,105682
14-Apr-16,8.95,9.30,8.85,9.22,31991
13-Apr-16,8.79,9.17,8.62,8.98,64895
12-Apr-16,8.65,8.87,8.44,8.75,52748
11-Apr-16,8.93,8.93,8.48,8.66,55892
8-Apr-16,9.33,9.33,8.63,8.82,131354
7-Apr-16,9.27,9.33,9.01,9.23,159070
6-Apr-16,9.01,9.55,8.97,9.34,127302
5-Apr-16,9.22,9.48,8.89,9.02,57964
4-Apr-16,9.40,9.71,9.25,9.26,113121
1-Apr-16,8.99,9.47,8.99,9.42,52189
31-Mar-16,9.13,9.54,8.96,9.07,94649
30-Mar-16,9.01,9.30,8.92,9.16,128791
29-Mar-16,8.73,9.11,8.21,8.89,81951
28-Mar-16,8.80,8.99,8.38,8.71,28097
24-Mar-16,8.69,9.13,8.56,8.74,19499
23-Mar-16,9.16,9.20,8.58,8.73,56857
22-Mar-16,9.20,9.43,9.08,9.24,43204
21-Mar-16,9.15,9.73,9.15,9.27,113378
18-Mar-16,8.58,9.30,8.40,9.15,541037
17-Mar-16,8.51,8.58,8.30,8.52,47047
16-Mar-16,8.50,8.80,8.32,8.54,84032
15-Mar-16,8.95,8.95,8.42,8.56,100619
14-Mar-16,8.75,9.20,8.74,8.93,61757
11-Mar-16,8.75,8.95,8.49,8.69,159757
10-Mar-16,8.85,9.06,8.28,8.60,590308
9-Mar-16,9.61,9.61,8.45,8.79,192617
8-Mar-16,9.34,9.38,8.77,8.77,89244
7-Mar-16,8.90,9.58,8.65,9.24,88099
4-Mar-16,8.70,9.25,8.58,9.02,165691
3-Mar-16,8.65,8.87,7.89,8.69,66151
2-Mar-16,8.39,8.90,7.90,8.69,104785
1-Mar-16,8.33,8.41,8.11,8.41,88269
29-Feb-16,8.36,8.57,8.15,8.30,126199
26-Feb-16,8.24,8.69,8.09,8.37,78193
25-Feb-16,7.94,8.14,7.72,8.11,53828
24-Feb-16,7.95,8.03,7.57,7.85,81100
23-Feb-16,8.34,8.42,7.81,7.97,65041
22-Feb-16,8.01,8.50,7.68,8.34,341696
19-Feb-16,7.75,8.10,7.60,7.97,82405
18-Feb-16,8.08,8.20,7.68,7.75,68724
17-Feb-16,8.00,8.12,7.49,8.05,131637
16-Feb-16,8.01,8.18,7.75,7.97,178800
12-Feb-16,7.68,8.31,6.83,7.89,309979
11-Feb-16,7.65,7.78,6.80,7.49,175601
10-Feb-16,8.69,8.70,7.78,7.82,164283
9-Feb-16,8.70,8.70,8.32,8.65,115358
8-Feb-16,9.00,9.00,7.85,8.89,124703
5-Feb-16,9.19,9.62,9.08,9.15,106320
4-Feb-16,8.95,9.57,8.86,9.20,74769
3-Feb-16,9.03,9.04,8.48,8.91,93568
2-Feb-16,8.81,8.94,8.51,8.87,110877
1-Feb-16,9.12,9.20,8.65,8.97,84101
29-Jan-16,8.66,9.23,8.25,9.15,150673
28-Jan-16,8.99,9.03,8.40,8.60,173133
27-Jan-16,8.83,9.02,8.60,8.76,142895
26-Jan-16,8.82,8.90,8.47,8.80,96084
25-Jan-16,8.55,8.95,8.50,8.67,159809
22-Jan-16,8.51,8.82,8.31,8.57,205853
21-Jan-16,8.20,8.50,7.91,8.26,162924
20-Jan-16,8.22,8.44,7.81,8.18,310254
19-Jan-16,8.59,8.90,8.08,8.40,247818
15-Jan-16,8.36,8.71,8.04,8.67,210858
14-Jan-16,8.31,8.85,7.98,8.64,167142
13-Jan-16,8.90,9.13,8.26,8.40,142146
12-Jan-16,8.55,9.09,8.15,8.88,212540
11-Jan-16,8.92,8.94,8.10,8.62,232111
8-Jan-16,9.03,9.56,8.80,8.86,226982
7-Jan-16,9.40,9.40,8.79,8.97,282381
6-Jan-16,10.07,10.07,9.40,9.61,376817
5-Jan-16,10.52,10.64,10.05,10.20,234505
4-Jan-16,11.34,11.34,10.21,10.53,440585
31-Dec-15,11.26,11.80,11.17,11.52,258449
30-Dec-15,10.66,11.75,10.66,11.30,326038
29-Dec-15,10.30,11.01,10.30,10.84,303067
28-Dec-15,10.10,10.49,10.01,10.31,201810
24-Dec-15,10.28,10.43,10.05,10.21,59567
23-Dec-15,10.58,10.58,10.13,10.26,141292
22-Dec-15,10.48,10.56,10.24,10.47,296904
21-Dec-15,10.14,10.50,9.90,10.46,369844
18-Dec-15,10.19,10.35,9.98,10.07,1620909
17-Dec-15,10.35,10.52,9.92,10.22,261714
16-Dec-15,10.46,10.47,9.98,10.42,285581
15-Dec-15,10.17,10.63,10.17,10.26,217464
