sep=,
Date,Open,High,Low,Close,Volume
15-Jun-16,52.97,53.21,52.76,52.84,10288979
14-Jun-16,52.37,53.10,52.32,52.99,10735932
13-Jun-16,52.50,52.83,52.23,52.57,12472762
10-Jun-16,51.86,52.83,51.72,52.67,15629030
9-Jun-16,51.64,52.00,51.37,51.95,9790675
8-Jun-16,51.51,51.70,51.24,51.52,10546166
7-Jun-16,50.60,51.98,50.60,51.75,15210890
6-Jun-16,51.06,51.08,50.65,50.71,10075570
3-Jun-16,50.77,51.00,50.61,50.92,9500653
2-Jun-16,50.47,50.77,50.12,50.77,8721138
1-Jun-16,50.87,50.98,50.22,50.43,10670751
31-May-16,50.88,51.16,50.59,50.90,15834450
27-May-16,50.39,50.86,50.18,50.62,10645523
26-May-16,49.85,50.28,49.79,50.16,10727073
25-May-16,49.63,50.01,49.40,49.85,9487727
24-May-16,49.36,49.62,49.20,49.58,11823190
23-May-16,49.66,49.78,49.04,49.14,13248613
20-May-16,49.80,49.80,49.47,49.66,15344778
19-May-16,50.00,50.02,49.12,49.63,16008824
18-May-16,50.92,51.03,50.06,50.39,10443110
17-May-16,51.20,51.35,50.67,50.90,10454565
16-May-16,50.77,51.33,50.64,51.23,7898700
13-May-16,51.41,51.49,50.85,50.94,9506353
12-May-16,51.22,51.60,51.08,51.47,9915426
11-May-16,51.48,51.70,51.08,51.15,8448931
10-May-16,51.38,51.55,51.27,51.54,7899164
9-May-16,51.22,51.43,51.01,51.08,8718834
6-May-16,50.91,51.14,50.61,51.12,9780381
5-May-16,50.99,51.04,50.63,50.84,10788325
4-May-16,50.48,50.98,50.20,50.84,9026812
3-May-16,51.11,51.32,50.36,50.68,12853969
2-May-16,51.22,51.45,51.04,51.32,11083931
29-Apr-16,50.95,51.05,50.64,50.94,13680023
28-Apr-16,51.30,51.56,50.92,51.02,13054001
27-Apr-16,50.46,51.81,50.46,51.69,16974345
26-Apr-16,50.98,51.00,50.28,50.44,10055209
25-Apr-16,50.53,50.95,50.28,50.76,12428516
22-Apr-16,50.15,50.63,50.05,50.55,17810964
21-Apr-16,50.56,50.68,49.47,50.03,32153710
20-Apr-16,52.15,52.22,51.66,51.75,15388916
19-Apr-16,51.80,52.17,51.79,52.08,11388890
18-Apr-16,51.37,51.90,51.18,51.73,14321160
15-Apr-16,51.28,51.49,51.10,51.35,11832201
14-Apr-16,51.28,51.55,51.24,51.36,10080495
13-Apr-16,52.07,52.09,50.84,51.29,19739663
12-Apr-16,51.66,52.19,51.60,51.95,12334785
11-Apr-16,52.36,52.40,51.50,51.61,14945054
8-Apr-16,52.20,52.58,52.05,52.18,11920611
7-Apr-16,52.52,52.70,51.77,52.00,23021941
6-Apr-16,53.62,53.62,53.13,53.52,12991115
5-Apr-16,54.38,54.49,53.95,54.09,12969741
4-Apr-16,54.03,54.42,53.80,54.42,11389059
1-Apr-16,53.32,54.09,53.10,54.01,13802784
31-Mar-16,54.01,54.26,53.92,54.08,12372707
30-Mar-16,54.17,54.37,53.70,54.04,14510958
29-Mar-16,53.51,54.08,53.30,54.05,10762353
28-Mar-16,53.56,53.73,53.20,53.40,8527058
24-Mar-16,52.74,53.62,52.66,53.56,15088488
23-Mar-16,53.13,53.23,52.82,52.91,9666840
22-Mar-16,53.42,53.46,53.10,53.21,10803344
21-Mar-16,53.19,53.59,53.02,53.44,10642522
18-Mar-16,53.81,53.85,53.24,53.24,23221189
17-Mar-16,53.28,53.80,53.19,53.63,16399304
16-Mar-16,52.67,53.38,52.40,53.21,11853017
15-Mar-16,52.24,52.74,52.24,52.67,11295734
14-Mar-16,52.55,52.75,52.23,52.54,11727091
11-Mar-16,52.65,52.78,52.24,52.53,15139849
10-Mar-16,52.55,52.66,51.99,52.32,15106230
9-Mar-16,52.55,52.96,52.00,52.34,15457828
8-Mar-16,52.05,52.75,51.93,52.46,14231597
7-Mar-16,51.53,52.35,51.40,52.21,14895959
4-Mar-16,51.75,52.00,51.50,51.81,13924932
3-Mar-16,52.14,52.22,51.61,51.89,15401628
2-Mar-16,51.37,52.20,51.19,52.12,14783909
1-Mar-16,50.99,51.47,50.98,51.46,11996906
29-Feb-16,50.86,51.38,50.68,50.73,15913750
26-Feb-16,51.15,51.34,50.92,51.02,13002862
25-Feb-16,50.90,51.30,50.78,51.11,12355076
24-Feb-16,50.27,50.87,50.17,50.82,11235394
23-Feb-16,50.97,50.99,50.36,50.63,11470350
22-Feb-16,51.02,51.15,50.77,51.07,12378510
19-Feb-16,50.74,51.07,50.31,50.86,15325700
18-Feb-16,50.12,51.10,49.96,50.94,19675039
17-Feb-16,50.41,50.60,50.08,50.32,15212508
16-Feb-16,50.24,50.30,49.58,50.24,16196206
12-Feb-16,49.54,50.19,49.35,50.11,20930635
11-Feb-16,49.60,50.10,49.26,49.39,30356382
10-Feb-16,50.19,50.32,49.62,49.98,18623046
9-Feb-16,50.06,50.61,49.35,50.15,22423301
8-Feb-16,50.60,50.80,49.77,50.74,26979452
5-Feb-16,50.32,51.20,50.31,50.97,25631276
4-Feb-16,50.37,50.60,49.67,50.43,19503151
3-Feb-16,50.25,50.62,49.42,50.62,20298693
2-Feb-16,50.61,50.63,49.65,49.91,21547236
1-Feb-16,49.94,51.02,49.69,50.76,28377188
29-Jan-16,49.39,49.99,49.22,49.97,28822440
28-Jan-16,49.06,49.46,48.47,49.01,19969180
27-Jan-16,48.29,49.49,48.25,49.03,33736919
26-Jan-16,47.13,48.26,47.05,48.25,22601178
25-Jan-16,47.08,47.78,46.54,47.03,24106353
22-Jan-16,46.41,47.12,46.00,47.04,23041431
21-Jan-16,45.00,46.33,44.43,45.87,31342722
20-Jan-16,44.38,44.77,43.79,44.42,28194515
19-Jan-16,44.74,45.01,44.53,44.87,20184011
15-Jan-16,44.04,44.55,43.86,44.43,27858033
14-Jan-16,44.22,45.19,44.05,44.87,18429837
13-Jan-16,45.11,45.27,44.08,44.15,19160050
12-Jan-16,45.24,45.25,44.53,44.93,15123033
11-Jan-16,45.11,45.23,44.60,45.09,14226177
8-Jan-16,45.66,45.74,44.70,44.83,16594793
7-Jan-16,45.12,45.67,45.00,45.27,19277584
6-Jan-16,45.49,45.95,45.28,45.52,19082706
5-Jan-16,46.20,46.55,45.63,46.50,15632848
4-Jan-16,45.67,45.90,45.36,45.87,17743797
31-Dec-15,46.52,46.65,46.20,46.22,11490922
30-Dec-15,47.20,47.20,46.62,46.77,8970710
29-Dec-15,46.98,47.23,46.84,47.21,7667106
28-Dec-15,46.62,46.84,46.56,46.75,6255458
24-Dec-15,46.91,46.97,46.60,46.71,4279919
23-Dec-15,46.51,47.15,46.39,46.95,12685508
22-Dec-15,46.20,46.46,45.85,46.34,11181513
21-Dec-15,45.73,45.92,45.52,45.90,10360564
18-Dec-15,45.90,46.04,45.56,45.56,31635054
17-Dec-15,46.49,46.69,46.02,46.10,15508602
16-Dec-15,45.93,46.57,45.70,46.51,18808282
15-Dec-15,45.52,45.86,45.20,45.55,16742625
14-Dec-15,44.84,45.50,44.68,45.45,16661362
11-Dec-15,45.00,45.35,44.73,44.82,16481886
10-Dec-15,45.47,45.66,45.20,45.32,10402468
9-Dec-15,45.58,46.13,45.12,45.36,13467888
8-Dec-15,45.67,45.99,45.44,45.70,13776083
7-Dec-15,45.46,46.12,45.45,46.06,13192101
4-Dec-15,44.74,45.78,44.71,45.71,14158575
3-Dec-15,44.88,45.05,44.33,44.56,17077739
2-Dec-15,45.45,45.55,44.87,44.92,11842585
1-Dec-15,45.51,45.89,45.33,45.58,10556513
30-Nov-15,45.25,45.64,44.96,45.45,18766656
27-Nov-15,44.84,45.39,44.83,45.23,4108274
25-Nov-15,45.11,45.13,44.89,44.92,7014583
24-Nov-15,44.75,45.34,44.68,45.19,11126455
23-Nov-15,45.31,45.50,44.94,44.99,10288747
20-Nov-15,45.96,45.99,45.32,45.39,12206291
19-Nov-15,45.44,45.87,45.35,45.76,9302638
18-Nov-15,45.08,45.43,44.58,45.38,13556353
17-Nov-15,45.01,45.32,44.93,45.08,10653843
16-Nov-15,44.26,45.07,44.18,45.04,10089351
13-Nov-15,44.73,44.99,44.22,44.23,11959171
12-Nov-15,45.02,45.09,44.77,44.83,10872265
11-Nov-15,45.36,45.54,45.13,45.32,7902033
10-Nov-15,45.27,45.33,44.80,45.10,9978260
9-Nov-15,45.53,45.54,45.03,45.30,10716025
6-Nov-15,45.99,46.03,45.29,45.78,14140471
5-Nov-15,46.20,46.43,46.10,46.20,11642769
4-Nov-15,46.58,46.65,46.04,46.14,9701450
3-Nov-15,46.70,46.74,46.18,46.45,11863957
2-Nov-15,47.02,47.08,46.52,46.78,11681280
30-Oct-15,46.43,46.98,46.28,46.88,14712106
29-Oct-15,46.49,46.56,46.00,46.40,7896133
28-Oct-15,46.44,46.80,46.06,46.48,11425746
27-Oct-15,46.19,46.30,46.01,46.17,9539356
26-Oct-15,46.32,46.54,46.15,46.36,10800950
23-Oct-15,46.14,46.33,45.94,46.16,13268439
22-Oct-15,44.98,45.90,44.98,45.89,15342368
21-Oct-15,45.44,45.71,44.71,44.86,17081827
20-Oct-15,44.92,45.80,44.79,45.24,19695677
19-Oct-15,44.48,44.82,44.26,44.70,17479852
16-Oct-15,44.92,44.97,44.45,44.70,15587714
15-Oct-15,44.24,44.70,44.06,44.67,11704348
14-Oct-15,44.26,44.54,43.93,43.99,19540939
13-Oct-15,44.14,44.50,44.14,44.36,11520971
12-Oct-15,44.18,44.31,44.01,44.30,9872687
9-Oct-15,44.28,44.53,44.00,44.16,11938298
8-Oct-15,43.68,44.31,43.55,44.23,10251861
7-Oct-15,43.78,43.99,43.46,43.85,11901124
6-Oct-15,44.00,44.43,43.98,44.06,14944816
5-Oct-15,43.24,44.02,43.24,44.00,14404700
2-Oct-15,42.55,42.90,42.20,42.84,22207510
1-Oct-15,43.49,43.64,42.69,42.96,22243778
30-Sep-15,43.83,44.00,43.28,43.51,20320580
29-Sep-15,43.78,44.00,43.34,43.53,15623291
28-Sep-15,44.01,44.18,43.69,43.74,15201692
25-Sep-15,44.32,44.53,44.07,44.22,17494936
24-Sep-15,43.79,44.20,43.76,44.09,14326698
23-Sep-15,44.36,44.48,43.90,43.98,11635546
22-Sep-15,44.43,44.53,44.11,44.43,12318956
21-Sep-15,44.62,44.89,44.53,44.80,10534500
18-Sep-15,45.16,45.26,44.42,44.57,26631653
17-Sep-15,45.40,45.75,44.53,45.23,31465972
16-Sep-15,46.44,46.47,46.10,46.19,11924205
15-Sep-15,45.92,46.55,45.72,46.37,11953175
14-Sep-15,45.78,45.89,45.60,45.65,9670284
11-Sep-15,45.44,45.75,45.26,45.73,11194664
10-Sep-15,45.37,45.61,45.02,45.46,16376577
9-Sep-15,46.25,46.27,45.30,45.39,14308063
8-Sep-15,45.58,45.90,45.22,45.88,13973246
4-Sep-15,45.35,45.35,44.64,44.82,15999950
3-Sep-15,45.63,46.15,45.52,45.72,12452036
2-Sep-15,45.50,45.50,44.77,45.35,17154505
1-Sep-15,45.09,45.55,44.68,44.90,20983653
31-Aug-15,45.95,46.10,45.61,46.01,14757673
28-Aug-15,46.06,46.16,45.65,46.07,12715819
27-Aug-15,45.78,46.29,45.16,46.19,20901086
26-Aug-15,44.38,45.31,44.00,45.16,30803228
25-Aug-15,45.76,45.76,43.50,43.50,27185380
24-Aug-15,44.35,45.87,38.06,44.74,35785825
21-Aug-15,46.45,46.85,46.10,46.10,21224795
20-Aug-15,47.05,47.39,46.88,46.88,13739434
19-Aug-15,47.39,47.70,47.08,47.44,12577986
18-Aug-15,47.56,47.69,47.33,47.46,8581419
17-Aug-15,47.28,47.62,47.20,47.52,7784321
14-Aug-15,47.62,47.63,47.43,47.49,8769469
13-Aug-15,47.77,47.94,47.49,47.66,11168461
12-Aug-15,47.30,47.88,47.10,47.85,16109076
11-Aug-15,47.54,48.21,47.48,47.60,18511013
10-Aug-15,46.52,47.34,46.52,47.23,13529463
7-Aug-15,46.57,46.74,46.17,46.36,10538028
6-Aug-15,46.59,46.70,46.29,46.63,9917174
5-Aug-15,46.90,47.15,46.60,46.64,11946050
4-Aug-15,47.02,47.08,46.56,46.67,9371905
3-Aug-15,47.18,47.20,46.60,46.97,10321273
31-Jul-15,46.85,47.17,46.71,46.79,12562865
30-Jul-15,46.66,46.80,46.40,46.67,9592327
29-Jul-15,46.00,46.90,45.97,46.56,15968698
28-Jul-15,45.99,46.04,45.66,45.89,16150867
27-Jul-15,45.94,46.25,45.71,45.83,15747835
24-Jul-15,46.44,46.48,45.96,46.04,19528682
23-Jul-15,46.46,46.62,46.17,46.35,13698195
22-Jul-15,46.79,46.84,46.11,46.45,21026578
21-Jul-15,46.98,47.35,46.57,46.97,31961575
20-Jul-15,47.63,48.26,47.42,48.10,17246671
17-Jul-15,47.78,47.95,47.50,47.59,10160443
16-Jul-15,47.48,47.86,47.45,47.83,11011383
15-Jul-15,47.48,47.50,47.04,47.33,9623960
14-Jul-15,47.19,47.44,47.05,47.41,9973554
13-Jul-15,47.38,47.42,46.95,47.20,10184438
10-Jul-15,46.84,47.33,46.72,47.00,14727062
9-Jul-15,47.01,47.16,46.23,46.26,16304497
8-Jul-15,46.58,46.83,46.30,46.58,17859551
7-Jul-15,47.22,47.45,46.83,47.25,18025793
6-Jul-15,47.06,47.14,46.80,47.04,12051743
2-Jul-15,47.23,47.38,47.11,47.20,9872374
1-Jul-15,46.64,47.11,46.57,47.00,12545875
30-Jun-15,47.14,47.25,46.60,46.61,15044104
29-Jun-15,47.28,47.72,46.75,46.77,15032432
26-Jun-15,47.59,48.49,47.38,47.62,18492751
25-Jun-15,47.63,47.92,47.43,47.44,14445372
24-Jun-15,47.60,47.79,47.29,47.29,17742318
23-Jun-15,47.86,48.11,47.71,47.77,14411380
22-Jun-15,47.63,47.78,47.41,47.53,9191874
19-Jun-15,47.65,47.71,47.37,47.46,26861656
18-Jun-15,47.42,47.92,47.39,47.77,14527255
